game_date,away_team,home_team,away_pitcher,home_pitcher
2024-02-28,Bravos,Phillies,AJ Smith-Shawver,Tyler Phillips
2024-02-28,Tigres,Piratas,Tarik Skubal,Quinn Priester
2024-02-28,Orioles,Twins,Dean Kremer,Pablo López
2024-02-28,Red Sox,Nacionales,Josh Winckowski,Jackson Rutledge
2024-02-28,Rays,Azulejos,Ryan Pepiot,Paolo Espino
2024-02-28,Cardenales,Mets,Miles Mikolas,Reed Garrett
2024-02-28,Astros,Marlins,Misael Tamarez,Edward Cabrera
2024-02-28,Gigantes,Atléticos,Spencer Howard,Paul Blackburn
2024-02-28,Dodgers,Rangers,Yoshinobu Yamamoto,Cody Bradford
2024-02-28,Padres,White Sox,Matt Waldron,Deivi García
2024-02-28,D-backs,Guardians,Brandon Pfaadt,Joey Cantillo
2024-02-28,Reales,Marineros,Brady Singer,Logan Gilbert
2024-02-28,Cachorros,Cerveceros,Jordan Wicks,Rob Zastryzny
2024-02-28,Angels,Rockies,Tyler Anderson,Austin Gomber
