game_date,away_team,home_team,away_pitcher,home_pitcher
2024-05-18,White Sox,Yankees,Brad Keller,Luis Gil
2024-05-18,Pirates,Cubs,Bailey Falter,Shota Imanaga
2024-05-18,Rays,Blue Jays,Zach Eflin,Kevin Gausman
2024-05-18,Rockies,Giants,Ty Blach,Kyle Harrison
2024-05-18,Mariners,Orioles,Luis Castillo,Grayson Rodriguez
2024-05-18,Mets,Marlins,Luis Severino,Braxton Garrett
2024-05-18,Nationals,Phillies,MacKenzie Gore,Cristopher Sánchez
2024-05-18,Twins,Guardians,Bailey Ober,Logan Allen
2024-05-18,Athletics,Royals,Ross Stripling,Seth Lugo
2024-05-18,Brewers,Astros,Bryse Wilson,Justin Verlander
2024-05-18,Angels,Rangers,Patrick Sandoval,José Ureña
2024-05-18,Red Sox,Cardinals,Kutter Crawford,Miles Mikolas
2024-05-18,Tigers,D-backs,Jack Flaherty,Zac Gallen
2024-05-18,Reds,Dodgers,Graham Ashcraft,Walker Buehler
2024-05-18,Padres,Braves,Yu Darvish,Bryce Elder
