game_date,away_team,home_team,away_pitcher,home_pitcher
2024-07-06,Red Sox,Yankees,Josh Winckowski,Gerrit Cole
2024-07-06,Astros,Twins,Hunter Brown,Joe Ryan
2024-07-06,Angels,Cubs,Tyler Anderson,Kyle Hendricks
2024-07-06,Cardinals,Nationals,Lance Lynn,MacKenzie Gore
2024-07-06,Rays,Rangers,Taj Bradley,Andrew Heaney
2024-07-06,Mets,Pirates,David Peterson,Bailey Falter
2024-07-06,Orioles,Athletics,Cade Povich,Luis Medina
2024-07-06,Blue Jays,Mariners,Yariel Rodríguez,Emerson Hancock
2024-07-06,White Sox,Marlins,Garrett Crochet,Yonny Chirinos
2024-07-06,Giants,Guardians,Kyle Harrison,Logan Allen
2024-07-06,Tigers,Reds,Alex Faedo,Hunter Greene
2024-07-06,Brewers,Dodgers,Freddy Peralta,James Paxton
2024-07-06,Phillies,Braves,Ranger Suárez,Spencer Schwellenbach
2024-07-06,Royals,Rockies,Seth Lugo,Austin Gomber
2024-07-06,D-backs,Padres,Brandon Pfaadt,Matt Waldron
