game_date,away_team,home_team,away_pitcher,home_pitcher
2024-09-17,Giants,Orioles,Blake Snell,Albert Suárez
2024-09-17,Dodgers,Marlins,Bobby Miller,Darren McCaughan
2024-09-17,Twins,Guardians,Zebby Matthews,Gavin Williams
2024-09-17,Braves,Reds,Grant Holmes,Brandon Williamson
2024-09-17,Red Sox,Rays,Nick Pivetta,Shane Baz
2024-09-17,Nationals,Mets,Mitchell Parker,Tylor Megill
2024-09-17,Phillies,Brewers,Zack Wheeler,Frankie Montas
2024-09-17,Tigers,Royals,Casey Mize,Cole Ragans
2024-09-17,Athletics,Cubs,Mitch Spence,Jordan Wicks
2024-09-17,Pirates,Cardinals,Bailey Falter,Lance Lynn
2024-09-17,Blue Jays,Rangers,Chris Bassitt,Nathan Eovaldi
2024-09-17,D-backs,Rockies,Jordan Montgomery,Ryan Feltner
2024-09-17,White Sox,Angels,Davis Martin,Griffin Canning
2024-09-17,Yankees,Mariners,Luis Gil,Bryan Woo
2024-09-17,Astros,Padres,Hunter Brown,Michael King
