game_date,away_team,home_team,away_pitcher,home_pitcher
2024-03-17,Dodgers,Kiwoom Heroes,Michael Grove,Ariel Jurado
2024-03-17,Korea,Padres,Jhony Brito,
2024-03-17,Yankees,Red Sox,Will Warren,Tanner Houck
2024-03-17,Braves,Orioles,Spencer Strider,Tyler Wells
2024-03-17,Blue Jays,Phillies,José Berríos,Zack Wheeler
2024-03-17,Rays,Pirates,Edwin Uceta,Josh Fleming
2024-03-17,Mets,Nationals,Tylor Megill,MacKenzie Gore
2024-03-17,Astros,Cardinals,Framber Valdez,Matthew Liberatore
2024-03-17,Red Sox,Braves,Brayan Bello,Reynaldo López
2024-03-17,Orioles,Tigers,Julio Teheran,Kenta Maeda
2024-03-17,Twins,Blue Jays,Jorge Alcala,Yariel Rodríguez
2024-03-17,Marlins,Mets,Luis Palacios,Jose Quintana
2024-03-17,White Sox,Athletics,Nick Nastrini,Alex Wood
2024-03-17,Rangers,Cubs,José Ureña,Javier Assad
2024-03-17,Rockies,Giants,Cal Quantrill,Logan Webb
2024-03-17,D-backs,Mariners,Blake Walston,Logan Gilbert
2024-03-17,Angels,D-backs,Patrick Sandoval,Zac Gallen
2024-03-17,Brewers,Royals,Taylor Clarke,Cole Ragans
2024-03-17,Reds,Guardians,Brandon Williamson,Shane Bieber
