game_date,home_team,away_team,winner
2024-06-14,Cubs,Cardinals,Cardinals
2024-06-14,Red Sox,Yankees,Yankees
2024-06-14,Nationals,Marlins,Nationals
2024-06-14,Orioles,Phillies,Phillies
2024-06-14,Blue Jays,Guardians,Guardians
2024-06-14,Mets,Padres,Mets
2024-06-14,Braves,Rays,Braves
2024-06-14,Astros,Tigers,Astros
2024-06-14,Brewers,Reds,Reds
2024-06-14,Rockies,Pirates,Pirates
2024-06-14,D-backs,White Sox,D-backs
2024-06-14,Dodgers,Royals,Dodgers
2024-06-14,Mariners,Rangers,Mariners
2024-06-14,Giants,Angels,Angels
