team,wins,losses,run_diff,streak,games_played,win_pct
NYY,50,23,130,L1,73,.685
BAL,46,24,109,W1,70,.657
BOS,36,35,32,W1,71,.507
TOR,34,36,-32,W1,70,.486
TB,33,38,-73,L2,71,.465
CLE,44,24,87,L1,68,.647
KC,41,31,64,W1,72,.569
MIN,38,32,11,W3,70,.543
DET,34,36,0,W1,70,.486
CWS,19,53,-148,W1,72,.264
SEA,42,31,14,W2,73,.575
TEX,33,37,0,L2,70,.471
HOU,32,39,1,L1,71,.451
LAA,28,42,-67,W2,70,.400
OAK,26,46,-87,L7,72,.361
PHI,47,23,101,L1,70,.671
ATL,38,30,39,W3,68,.559
WSH,34,36,-11,W2,70,.486
NYM,32,37,-23,W4,69,.464
MIA,23,47,-114,L4,70,.329
MIL,41,29,62,W1,70,.586
STL,34,35,-39,L1,69,.493
CIN,34,36,14,L1,70,.486
CHC,34,37,-16,W1,71,.479
PIT,33,37,-34,L1,70,.471
LAD,43,29,98,L1,72,.597
SD,37,37,21,L2,74,.500
ARI,34,37,-4,L1,71,.479
SF,34,37,-30,L2,71,.479
COL,25,45,-105,W1,70,.357
