full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Sonny Gray,473,88.45,2466.0,6.62,33,0,68.12,14.29,82.06,7.23,5
Frankie Montas,590,92.84,2322.4,6.06,38,0,70.28,17.29,81.66,7.14,6
Jakob Junis,318,87.86,2327.26,6.07,17,0,70.19,15.28,84.63,7.35,7
Ryan Feltner,338,89.75,2268.98,6.48,19,0,70.16,22.57,83.68,7.0,4
Framber Valdez,476,87.78,2355.42,5.85,37,0,70.22,-1.84,79.74,7.33,5
Gavin Williams,498,91.32,2316.19,7.15,27,0,69.8,20.99,83.9,7.08,6
Tarik Skubal,526,92.09,2033.98,6.36,43,0,68.79,17.9,82.34,6.9,6
Darren McCaughan,229,85.75,2192.11,6.61,7,0,70.88,19.68,83.54,7.26,3
Kumar Rocker,74,91.22,2184.14,6.91,7,0,63.13,17.14,76.13,7.06,1
Mitchell Parker,481,87.7,1946.02,6.71,35,0,69.62,22.6,81.61,7.31,6
Cooper Criswell,448,84.73,2010.31,6.68,14,0,71.37,9.85,81.97,7.25,6
Bryce Miller,542,91.05,2250.26,6.27,39,0,68.59,25.3,82.46,7.19,6
Ryan Pepiot,491,91.08,2433.49,6.62,25,0,68.96,25.28,82.04,6.97,6
Mitch Spence,516,87.34,2509.28,6.16,27,0,71.23,5.92,81.82,7.5,6
Hayden Birdsong,395,89.69,2177.21,6.59,24,0,69.66,18.31,84.05,7.23,5
