full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Jose Quintana,569,85.36,1969.78,6.51,27,0,67.97,17.3,78.7,7.14,6
Tyler Anderson,585,84.72,2123.94,6.08,38,0,70.51,21.15,80.38,7.4,6
Zack Wheeler,599,91.17,2394.84,7.15,44,0,69.4,21.42,80.63,7.04,6
Robbie Ray,506,90.58,2239.78,6.11,39,0,68.67,20.27,82.16,7.18,6
Frankie Montas,472,92.82,2290.56,6.03,27,0,70.3,20.05,84.4,7.21,5
Austin Gomber,542,85.03,2198.57,6.74,27,0,70.69,18.84,82.96,7.4,6
Nick Pivetta,429,87.14,2416.0,6.75,29,0,69.18,24.7,82.4,7.2,5
Erick Fedde,551,88.69,2143.76,6.67,23,0,69.84,26.85,82.19,7.13,6
Walker Buehler,169,88.98,2273.24,6.54,4,0,68.18,12.31,79.88,6.97,2
Bailey Ober,551,87.04,2155.99,7.27,39,0,68.73,23.29,83.23,7.42,6
Alex Faedo,248,89.52,2388.51,6.07,14,0,68.19,29.68,79.73,7.3,8
Mitch Keller,533,89.73,2510.88,6.47,28,0,69.4,20.34,82.46,7.06,6
Luis Gil,466,92.64,2326.0,6.86,26,0,69.17,25.54,80.28,7.06,5
Davis Martin,384,87.94,2483.6,6.46,22,0,69.27,21.33,81.76,7.15,5
Dean Kremer,577,87.98,2043.5,6.19,27,0,69.25,22.43,82.44,7.29,6
Edward Cabrera,545,92.37,2032.89,6.7,30,0,70.95,10.25,83.58,7.35,6
Javier Assad,509,86.85,2064.57,6.59,20,0,69.44,23.27,81.37,7.22,6
Cole Ragans,613,89.09,2458.72,6.19,42,0,70.15,19.73,80.58,7.41,6
Shane Baz,522,91.01,2355.17,6.56,25,0,70.31,20.35,84.85,7.22,6
Ronel Blanco,533,88.17,2073.15,6.74,35,0,70.43,20.96,80.7,7.6,6
Cody Bradford,397,85.27,2025.84,7.12,24,0,69.88,21.6,80.92,7.16,5
Bryce Miller,535,91.04,2225.45,6.38,35,0,70.13,24.21,84.24,7.15,6
Joey Estes,492,86.39,2299.16,6.01,22,0,70.6,30.7,82.01,7.26,6
Carson Spiers,407,87.98,2283.95,6.62,23,0,71.36,20.57,84.36,7.38,5
DJ Herz,487,90.09,2304.33,6.73,34,0,69.22,20.25,80.69,7.04,6
