game_date,home_team,away_team,winner
2024-09-13,Tigers,Orioles,Tigers
2024-09-13,Phillies,Mets,Mets
2024-09-13,Pirates,Royals,Royals
2024-09-13,Nationals,Marlins,Nationals
2024-09-13,Yankees,Red Sox,Yankees
2024-09-13,Blue Jays,Cardinals,Blue Jays
2024-09-13,Guardians,Rays,Rays
2024-09-13,Braves,Dodgers,Braves
2024-09-13,Twins,Reds,Reds
2024-09-13,Rockies,Cubs,Rockies
2024-09-13,Angels,Astros,Astros
2024-09-13,D-backs,Brewers,Brewers
2024-09-13,Mariners,Rangers,Mariners
2024-09-13,Giants,Padres,Padres
