full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Lance Lynn,531,89.93,2474.06,6.35,30,0,69.66,23.19,81.87,6.92,6
Michael Lorenzen,475,89.34,2329.24,5.91,19,0,71.34,19.56,82.33,7.27,5
Patrick Corbin,536,85.86,2121.71,6.6,19,0,70.67,14.72,85.83,7.38,6
Aaron Nola,592,86.61,2326.89,7.03,30,0,69.78,12.4,81.02,7.58,6
Cole Irvin,436,86.48,2023.86,6.34,23,0,69.73,21.88,84.21,7.3,6
Luis Severino,489,92.92,2210.95,6.39,19,0,69.04,18.43,82.01,6.92,5
Griffin Canning,548,89.77,2180.78,5.88,21,0,69.72,13.19,83.97,7.3,6
Tanner Houck,581,87.38,2211.17,5.89,39,0,69.47,2.92,82.3,7.28,6
Mitch Keller,470,90.89,2512.31,6.44,27,0,69.45,18.78,82.27,7.0,5
Justin Steele,555,88.63,2527.63,6.33,37,0,69.83,18.4,81.2,7.17,6
Joe Ryan,569,90.93,2284.75,6.83,37,0,70.73,22.99,83.32,7.18,6
Casey Mize,491,89.63,2053.58,6.97,17,0,69.3,15.71,84.38,7.02,6
Taj Bradley,551,91.72,2110.23,6.57,43,0,69.46,20.38,82.91,6.94,6
Michael Grove,214,90.02,2400.73,6.92,13,0,68.29,7.86,81.62,7.26,11
Emerson Hancock,92,90.05,2155.24,6.39,1,0,71.05,18.02,84.1,7.18,1
Garrett Crochet,561,94.19,2453.42,6.99,52,0,70.3,17.49,83.17,7.03,6
Alec Marsh,565,89.74,2434.36,6.1,36,0,69.38,19.39,85.57,7.27,6
Brandon Pfaadt,566,90.08,2574.63,6.73,42,0,69.14,22.65,82.42,7.25,6
