game_date,home_team,away_team,winner
2024-05-31,Cubs,Reds,Reds
2024-05-31,Phillies,Cardinals,Phillies
2024-05-31,Orioles,Rays,Orioles
2024-05-31,Blue Jays,Pirates,Blue Jays
2024-05-31,Red Sox,Tigers,Red Sox
2024-05-31,Guardians,Nationals,Guardians
2024-05-31,Marlins,Rangers,Marlins
2024-05-31,Mets,D-backs,Mets
2024-05-31,Astros,Twins,Twins
2024-05-31,Royals,Padres,Padres
2024-05-31,Brewers,White Sox,Brewers
2024-05-31,Dodgers,Rockies,Rockies
2024-05-31,Mariners,Angels,Mariners
2024-05-31,Giants,Yankees,Yankees
