game_date,home_team,away_team,winner
2025-07-25,Brewers,Marlins,Marlins
2025-07-25,Pirates,D-backs,D-backs
2025-07-25,Orioles,Rockies,Rockies
2025-07-25,Yankees,Phillies,Phillies
2025-07-25,Red Sox,Dodgers,Dodgers
2025-07-25,Reds,Rays,Reds
2025-07-25,Tigers,Blue Jays,Blue Jays
2025-07-25,Cardinals,Padres,Cardinals
2025-07-25,White Sox,Cubs,White Sox
2025-07-25,Rangers,Braves,Rangers
2025-07-25,Astros,Athletics,Athletics
2025-07-25,Twins,Nationals,Twins
2025-07-25,Angels,Mariners,Angels
2025-07-25,Giants,Mets,Mets
