game_date,home_team,away_team,winner
2024-06-30,Braves,Pirates,Pirates
2024-06-30,Red Sox,Padres,Red Sox
2024-06-30,Phillies,Marlins,Phillies
2024-06-30,Blue Jays,Yankees,Yankees
2024-06-30,Mets,Astros,Astros
2024-06-30,Rays,Nationals,Rays
2024-06-30,White Sox,Rockies,Rockies
2024-06-30,Royals,Guardians,Royals
2024-06-30,Brewers,Cubs,Brewers
2024-06-30,Cardinals,Reds,Cardinals
2024-06-30,Giants,Dodgers,Giants
2024-06-30,Angels,Tigers,Tigers
2024-06-30,Mariners,Twins,Twins
2024-06-30,Orioles,Rangers,Rangers
