team,wins,losses,run_diff,streak,games_played,win_pct
BAL,51,30,119,W2,81,.630
NYY,52,31,90,L4,83,.627
BOS,43,38,41,L2,81,.531
TB,40,41,-56,L1,81,.494
TOR,38,43,-36,W3,81,.469
CLE,51,28,104,L2,79,.646
MIN,45,36,36,W2,81,.556
KC,45,38,49,W2,83,.542
DET,37,44,-19,L2,81,.457
CWS,22,61,-171,W1,83,.265
SEA,46,37,11,W1,83,.554
HOU,40,40,30,W7,80,.500
TEX,37,44,-17,L4,81,.457
LAA,34,46,-67,W4,80,.425
OAK,29,54,-106,L5,83,.349
PHI,53,28,119,L1,81,.654
ATL,44,35,49,L2,79,.557
NYM,39,39,11,W3,78,.500
WSH,38,42,-15,L3,80,.475
MIA,29,52,-124,W1,81,.358
MIL,48,33,69,W4,81,.593
STL,41,39,-38,L1,80,.513
PIT,39,41,-30,W2,80,.488
CIN,38,43,13,W1,81,.469
CHC,38,44,-24,W1,82,.463
LAD,51,31,120,W4,82,.622
SD,44,41,20,W3,85,.518
ARI,39,42,-15,L2,81,.481
SF,39,43,-30,L1,82,.476
COL,27,53,-133,L3,80,.338
