game_date,home_team,away_team,winner
2024-08-03,Yankees,Blue Jays,Yankees
2024-08-03,Cubs,Cardinals,Cardinals
2024-08-03,Nationals,Brewers,Nationals
2024-08-03,Tigers,Royals,Tigers
2024-08-03,Pirates,D-backs,Pirates
2024-08-03,Rangers,Red Sox,Rangers
2024-08-03,Twins,White Sox,Twins
2024-08-03,Reds,Giants,Reds
2024-08-03,Guardians,Orioles,Orioles
2024-08-03,Astros,Rays,Rays
2024-08-03,Braves,Marlins,Marlins
2024-08-03,Padres,Rockies,Padres
2024-08-03,Angels,Mets,Angels
2024-08-03,Mariners,Phillies,Mariners
