full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Lance Lynn,567,89.56,2488.72,6.41,25,0,69.34,21.05,81.82,7.05,6
Carlos Carrasco,493,87.34,2125.46,6.61,23,0,70.71,6.9,84.51,7.42,6
Patrick Corbin,535,86.84,2085.65,6.83,19,0,69.55,12.72,85.02,7.19,6
Marcus Stroman,560,87.58,2426.9,5.77,25,0,70.11,9.56,83.11,7.31,6
Yusei Kikuchi,551,90.02,2320.92,6.97,35,0,70.71,22.53,83.81,7.15,6
Jon Gray,594,90.54,2099.07,6.49,37,0,69.83,17.08,81.75,7.41,7
Austin Gomber,525,83.81,2166.66,6.65,21,0,69.81,18.08,82.44,7.36,6
Aaron Brooks,84,88.25,2123.73,6.0,5,0,71.2,16.09,87.6,7.78,1
Griffin Canning,531,88.99,2229.19,5.96,22,0,70.71,19.45,84.65,7.33,6
Tanner Houck,586,87.39,2223.32,5.93,38,0,68.69,1.26,84.06,7.21,6
Logan Webb,600,88.58,1921.39,7.01,30,0,70.53,3.68,84.94,7.3,6
Casey Mize,543,89.21,2014.36,7.04,26,0,68.98,15.86,83.87,7.01,6
Joey Lucchesi,68,85.36,2112.21,6.38,2,0,70.9,12.46,87.93,7.11,1
Framber Valdez,362,88.76,2331.53,5.67,21,0,70.69,-1.94,88.27,7.28,4
Javier Assad,519,88.04,2020.32,6.53,24,0,69.62,19.01,82.31,7.07,6
Trevor Rogers,508,88.36,2144.59,6.75,23,0,71.04,11.9,86.24,7.35,6
Andrew Abbott,535,88.6,2340.88,6.65,30,0,70.12,29.08,83.47,7.13,6
Taj Bradley,176,91.36,2184.32,6.54,13,0,70.36,16.57,85.43,7.08,2
Garrett Crochet,513,93.2,2445.08,7.13,39,0,69.44,22.06,80.72,7.12,6
Alec Marsh,340,89.81,2405.94,6.13,20,0,68.86,12.33,83.32,7.18,4
Kyle Bradish,259,91.13,2432.04,6.59,17,0,67.91,6.74,80.11,6.98,3
Robert Gasser,161,87.93,2293.2,6.67,6,0,68.85,18.81,81.2,7.28,2
Bryan Woo,141,92.64,2215.26,6.54,8,0,70.94,30.6,79.97,6.87,2
Brandon Pfaadt,540,88.78,2504.97,6.64,34,0,69.9,18.41,84.08,7.38,6
