game_date,home_team,away_team,winner
2025-06-15,Tigers,Reds,Reds
2025-06-15,Braves,Rockies,Rockies
2025-06-15,Orioles,Angels,Orioles
2025-06-15,Red Sox,Yankees,Red Sox
2025-06-15,Phillies,Blue Jays,Phillies
2025-06-15,Nationals,Marlins,Marlins
2025-06-15,Mets,Rays,Rays
2025-06-15,Astros,Twins,Astros
2025-06-15,Royals,Athletics,Athletics
2025-06-15,Brewers,Cardinals,Brewers
2025-06-15,Cubs,Pirates,Cubs
2025-06-15,Rangers,White Sox,Rangers
2025-06-15,D-backs,Padres,Padres
2025-06-15,Mariners,Guardians,Mariners
2025-06-15,Dodgers,Giants,Dodgers
