team,wins,losses,run_diff,streak,games_played,win_pct
BAL,15,7,31,W3,22,.682
NYY,15,8,19,L1,23,.652
BOS,13,10,18,W3,23,.565
TOR,13,10,-11,W1,23,.565
TB,12,12,-24,L2,24,.500
CLE,16,6,52,W4,22,.727
DET,13,10,7,W2,23,.565
KC,13,10,36,L3,23,.565
MIN,8,13,-18,W1,21,.381
CWS,3,19,-78,L4,22,.136
TEX,12,11,10,W1,23,.522
SEA,11,11,3,W1,22,.500
LAA,9,14,-19,L5,23,.391
OAK,9,14,-35,W1,23,.391
HOU,7,16,-28,L2,23,.304
ATL,15,6,38,W1,21,.714
PHI,15,8,18,W7,23,.652
NYM,12,10,8,L2,22,.545
WSH,10,11,-9,W2,21,.476
MIA,6,18,-41,L1,24,.250
MIL,14,7,33,L1,21,.667
CHC,13,9,18,L1,22,.591
CIN,12,10,14,L1,22,.545
PIT,12,11,-1,W1,23,.522
STL,10,13,-17,W1,23,.435
LAD,13,11,15,W1,24,.542
SD,13,12,10,W2,25,.520
ARI,11,13,26,L1,24,.458
SF,11,13,-18,W1,24,.458
COL,5,18,-57,L2,23,.217
