full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Justin Verlander,581,88.07,2440.63,5.97,31,0,69.78,27.51,81.9,7.21,6
Yu Darvish,434,88.27,2435.56,6.63,29,0,69.71,15.41,81.56,7.52,5
Shawn Armstrong,225,91.71,2369.72,6.67,16,0,70.77,30.22,81.86,7.08,11
Ross Stripling,436,87.39,2127.59,5.97,13,0,70.32,17.21,83.25,7.24,6
Miles Mikolas,435,87.76,2228.28,6.36,19,0,70.98,18.21,84.19,7.38,5
James Paxton,462,88.7,2019.37,6.47,16,0,68.58,18.91,82.02,6.97,5
Seth Lugo,593,87.4,2636.4,5.98,47,0,70.11,12.5,81.24,7.29,6
Ty Blach,379,84.93,2069.29,5.14,11,0,70.52,15.51,83.67,7.12,6
Chris Flexen,509,85.06,2222.81,6.25,24,0,69.82,19.03,80.84,7.48,6
Kenta Maeda,212,85.02,2109.58,6.12,6,0,69.19,24.88,82.84,7.49,3
Bailey Ober,556,86.68,2140.43,7.18,37,0,69.39,22.02,79.47,7.37,6
Jared Koenig,231,90.47,2341.58,6.25,9,0,68.51,17.46,82.28,7.1,11
Bailey Falter,406,88.05,1984.13,7.42,15,0,71.35,20.34,87.39,7.01,5
Patrick Sandoval,581,85.98,2164.48,6.26,33,0,69.2,14.09,80.67,7.41,6
Braxton Garrett,265,86.34,2106.97,6.71,18,0,69.56,7.8,84.43,7.42,3
Alek Manoah,370,88.86,2269.2,6.92,23,0,68.55,19.24,81.48,7.1,4
Zac Gallen,423,88.31,2241.97,6.54,27,0,69.55,14.91,86.36,7.28,5
Graham Ashcraft,563,93.22,2520.59,5.53,19,0,69.31,14.06,84.67,7.03,6
MacKenzie Gore,571,91.99,2270.35,7.02,35,0,69.52,19.93,81.91,7.05,6
Corbin Burnes,558,90.51,2714.79,6.57,37,0,69.32,5.79,81.3,7.48,6
George Kirby,519,92.16,2128.64,6.63,31,0,70.47,20.86,82.73,7.01,6
Logan Allen,531,85.8,1899.05,6.36,29,0,70.41,21.09,84.13,7.35,6
Kutter Crawford,553,87.19,2338.42,6.11,31,0,70.2,17.26,80.13,7.29,6
Ray Kerr,205,89.38,2122.62,6.17,16,0,67.97,22.73,80.79,7.21,5
Christian Scott,363,90.07,2250.98,6.87,21,0,70.58,26.29,82.85,7.17,4
Shota Imanaga,463,87.48,1970.7,6.35,37,0,71.14,20.49,79.57,7.53,5
Kyle Harrison,549,88.98,2124.82,6.65,31,0,70.49,17.54,82.37,7.09,6
