team,wins,losses,run_diff,streak,games_played,win_pct
NYY,92,65,145,L1,157,.586
BAL,87,70,78,W1,157,.554
BOS,80,78,13,W4,158,.506
TB,78,79,-56,L1,157,.497
TOR,73,85,-58,L5,158,.462
CLE,91,67,88,W1,158,.576
DET,83,74,38,W3,157,.529
KC,83,74,87,W1,157,.529
MIN,81,76,20,L3,157,.516
CWS,37,120,-319,W1,157,.236
HOU,86,72,94,W1,158,.544
SEA,81,77,57,L1,158,.513
TEX,74,83,-70,L1,157,.471
OAK,68,89,-113,W1,157,.433
LAA,63,94,-142,L1,157,.401
PHI,93,65,118,L1,158,.589
NYM,87,70,78,L1,157,.554
ATL,86,71,93,W3,157,.548
WSH,69,88,-106,L2,157,.439
MIA,58,99,-220,W1,157,.369
MIL,90,67,129,W2,157,.573
CHC,81,77,69,W1,158,.513
STL,80,77,-55,W3,157,.510
CIN,76,82,9,L2,158,.481
PIT,73,84,-77,L1,157,.465
LAD,93,64,131,L1,157,.592
SD,91,66,99,W5,157,.580
ARI,87,71,90,L3,158,.551
SF,79,79,7,W5,158,.500
COL,60,97,-227,L2,157,.382
