full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Max Scherzer,390,87.02,2275.56,6.27,23,0,69.31,27.37,82.45,7.29,5
Jose Quintana,568,85.77,1997.08,6.57,35,0,68.14,13.79,82.05,7.23,6
Chris Sale,587,88.02,2225.76,6.37,48,0,68.89,18.07,79.52,7.36,6
Miles Mikolas,525,88.02,2244.28,6.35,18,0,70.69,20.1,82.89,7.1,6
Yusei Kikuchi,507,91.15,2290.35,6.95,41,0,69.21,24.49,84.6,7.04,6
Jameson Taillon,535,87.27,2457.63,6.66,35,0,70.65,23.97,83.77,7.42,6
Ben Lively,495,86.18,1953.59,6.78,30,0,69.24,18.93,83.81,7.04,6
Blake Snell,153,89.83,2335.48,6.88,11,0,68.85,23.31,82.68,7.19,2
Carson Fulmer,290,90.26,2082.54,6.36,20,0,70.99,11.95,84.53,7.37,9
Brent Honeywell,97,89.01,2274.03,6.11,3,0,68.82,24.74,81.72,6.76,3
Rob Zastryzny,66,88.58,2501.32,6.7,4,0,68.88,28.0,78.91,7.23,6
Mitch Keller,450,88.81,2521.74,6.54,27,0,69.17,16.7,81.83,7.07,5
Jake Irvin,570,88.19,2441.9,7.14,29,0,69.23,18.34,82.79,7.03,6
Brady Singer,519,87.14,2322.39,6.98,26,0,69.77,10.76,81.37,7.43,6
Chris Paddack,296,86.61,2063.55,6.83,12,0,70.53,15.59,86.52,7.1,4
Dean Kremer,251,87.95,2040.38,6.24,15,0,69.41,20.01,81.28,7.32,3
Nick Lodolo,313,90.08,2394.55,6.17,19,0,70.12,16.93,84.62,7.23,4
Zac Gallen,337,89.08,2287.26,6.67,16,0,69.96,9.57,83.79,7.32,4
Logan Gilbert,547,90.36,1786.8,7.56,40,0,68.37,15.79,83.8,7.32,6
Trevor Rogers,564,88.67,2225.0,6.8,27,0,71.3,16.28,82.91,7.25,6
Ronel Blanco,566,87.7,1997.16,6.85,33,0,69.63,15.44,81.81,7.48,6
Brayan Bello,513,91.52,2075.9,6.29,34,0,69.36,7.78,82.5,7.21,6
Joey Estes,469,87.27,2375.6,5.97,21,0,70.57,28.77,82.42,7.18,6
Ryan Pepiot,521,90.96,2448.06,6.7,26,0,68.2,23.73,82.06,7.15,6
Orion Kerkering,218,91.25,2611.74,6.23,13,0,68.73,15.21,81.51,7.03,13
Beau Brieske,289,91.23,2363.76,6.12,20,0,70.11,14.92,83.23,7.52,11
Jared Shuster,233,88.31,2043.84,6.52,10,0,70.14,12.58,80.99,7.27,9
