game_date,home_team,away_team,winner
2024-05-19,Cardinals,Red Sox,Red Sox
2024-05-19,Orioles,Mariners,Orioles
2024-05-19,Yankees,White Sox,Yankees
2024-05-19,Phillies,Nationals,Phillies
2024-05-19,Blue Jays,Rays,Blue Jays
2024-05-19,Guardians,Twins,Guardians
2024-05-19,Marlins,Mets,Mets
2024-05-19,Astros,Brewers,Astros
2024-05-19,Cubs,Pirates,Pirates
2024-05-19,Rangers,Angels,Angels
2024-05-19,Giants,Rockies,Giants
2024-05-19,D-backs,Tigers,D-backs
2024-05-19,Dodgers,Reds,Dodgers
2024-05-19,Braves,Padres,Padres
