game_date,home_team,away_team,winner
2024-08-02,Cubs,Cardinals,Cubs
2024-08-02,Tigers,Royals,Royals
2024-08-02,Pirates,D-backs,D-backs
2024-08-02,Nationals,Brewers,Brewers
2024-08-02,Yankees,Blue Jays,Blue Jays
2024-08-02,Reds,Giants,Giants
2024-08-02,Guardians,Orioles,Guardians
2024-08-02,Braves,Marlins,Braves
2024-08-02,Rangers,Red Sox,Red Sox
2024-08-02,Astros,Rays,Astros
2024-08-02,Twins,White Sox,Twins
2024-08-02,Angels,Mets,Mets
2024-08-02,Padres,Rockies,Rockies
2024-08-02,Mariners,Phillies,Mariners
