game_date,home_team,away_team,winner
2025-07-19,Blue Jays,Giants,Blue Jays
2025-07-19,Marlins,Royals,Marlins
2025-07-19,Mets,Reds,Reds
2025-07-19,Phillies,Angels,Phillies
2025-07-19,Pirates,White Sox,White Sox
2025-07-19,Nationals,Padres,Nationals
2025-07-19,Rays,Orioles,Rays
2025-07-19,Rangers,Tigers,Rangers
2025-07-19,Guardians,Athletics,Athletics
2025-07-19,D-backs,Cardinals,D-backs
2025-07-19,Braves,Yankees,Yankees
2025-07-19,Cubs,Red Sox,Cubs
2025-07-19,Rockies,Twins,Rockies
2025-07-19,Dodgers,Brewers,Brewers
2025-07-19,Mariners,Astros,Mariners
