team_name,avg_launch_speed,avg_bat_speed,avg_swing_length
ATL,87.3,71.1,5.7
BAL,82.00962962962963,70.11899749373434,7.11253411306043
COL,87.85714285714286,70.57916666666667,7.386166666666666
CWS,82.14910714285713,69.57847222222222,7.477777777777778
DET,87.57041666666666,70.64499684343434,7.102414772727273
KC,74.229,57.519777777777776,6.207722222222222
LAA,92.11666666666667,68.8875,6.990277777777777
LAD,87.42231481481481,70.86569664902999,7.2397971781305115
MIA,78.71527777777777,64.30170048701298,6.552451298701299
MIL,79.56361111111111,68.25932539682539,7.039444444444445
MIN,84.464,71.2445950102529,7.497773410799726
NYM,108.9,76.18333333333334,7.466666666666666
NYY,85.67820346320346,75.22261988011988,7.746143856143855
PIT,83.33163265306122,69.48304988662132,7.090408163265306
SD,87.83055555555556,68.48555555555556,7.044999999999999
STL,80.09444444444445,67.35761363636364,6.66142316017316
TB,84.22305555555556,73.8789898989899,7.846742424242424
TEX,87.92916666666667,68.86488095238096,7.326785714285714
WSH,84.209623015873,69.84416666666667,6.9125
