game_date,home_team,away_team,winner
2025-06-20,Cubs,Mariners,Mariners
2025-06-20,Pirates,Rangers,Rangers
2025-06-20,Yankees,Orioles,Orioles
2025-06-20,Rays,Tigers,Rays
2025-06-20,Blue Jays,White Sox,White Sox
2025-06-20,Marlins,Braves,Marlins
2025-06-20,Phillies,Mets,Phillies
2025-06-20,Cardinals,Reds,Cardinals
2025-06-20,Twins,Brewers,Brewers
2025-06-20,Rockies,D-backs,D-backs
2025-06-20,Angels,Astros,Astros
2025-06-20,Padres,Royals,Royals
2025-06-20,Athletics,Guardians,Athletics
2025-06-20,Dodgers,Nationals,Dodgers
2025-06-20,Giants,Red Sox,Red Sox
