full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Chris Sale,466,87.49,2194.56,6.4,40,0,69.06,16.33,80.99,7.36,5
Sonny Gray,519,88.04,2522.63,6.61,45,0,69.57,6.45,83.43,7.27,6
Cody Poteet,78,88.57,2335.36,5.92,6,0,69.86,16.35,80.32,7.38,1
Michael Lorenzen,580,89.43,2342.99,5.87,29,0,70.52,15.96,81.48,7.24,6
Yusei Kikuchi,531,89.53,2250.45,6.98,29,0,70.45,19.41,83.11,7.17,6
Ben Lively,537,85.65,1987.95,6.93,28,0,69.06,22.17,83.45,7.02,6
Aaron Brooks,338,88.29,2113.31,6.14,10,0,68.99,13.59,86.11,7.38,4
Cal Quantrill,573,88.57,1778.91,6.53,33,0,71.11,11.04,82.31,7.35,6
Sean Manaea,477,88.76,1991.72,7.17,27,0,69.57,23.28,81.5,7.03,5
Mitch Keller,486,91.07,2507.83,6.43,27,0,69.06,15.94,81.87,6.86,5
Justin Steele,514,88.99,2503.92,6.35,30,0,70.08,19.82,82.96,7.05,6
Logan Webb,608,88.67,1947.98,7.08,37,0,70.93,7.35,85.54,7.24,6
Joe Ryan,581,90.29,2273.02,6.81,36,0,69.6,21.05,82.76,7.16,6
Framber Valdez,558,89.15,2270.87,5.84,26,0,70.81,-1.44,88.62,7.25,6
Hunter Greene,617,92.89,2277.79,6.37,34,0,69.27,26.9,82.42,7.15,6
Taj Bradley,442,91.11,2152.29,6.56,32,0,70.15,20.55,84.76,7.04,5
Reid Detmers,545,88.07,2101.43,5.99,33,0,69.3,26.31,83.58,7.3,6
Garrett Crochet,553,93.56,2452.09,7.04,46,0,69.66,17.03,81.69,7.11,6
Slade Cecconi,403,88.86,2340.84,6.63,15,0,69.35,24.67,82.33,7.15,5
Ryan Weathers,574,90.74,2212.8,5.75,38,0,70.02,12.34,83.77,7.17,6
Alec Marsh,464,90.09,2416.62,6.14,28,0,68.74,15.81,84.31,7.16,5
Kyle Bradish,512,90.98,2441.96,6.57,40,0,68.41,12.02,79.79,7.12,6
Mitchell Parker,534,87.49,1959.97,6.86,29,0,70.21,15.76,84.14,7.36,6
Reese Olson,513,89.27,2348.39,5.86,26,0,70.13,7.73,86.75,7.49,6
Cooper Criswell,497,84.35,2032.32,6.69,30,0,70.34,8.06,81.28,7.21,6
Bryce Miller,518,91.22,2185.49,6.34,31,0,71.46,24.38,84.21,7.17,6
Robert Gasser,399,87.82,2244.42,6.71,16,0,69.79,17.25,82.52,7.24,5
Yoshinobu Yamamoto,482,89.97,2092.54,6.58,34,0,70.35,11.39,82.61,7.13,5
