team,wins,losses,run_diff,streak,games_played,win_pct
NYY,93,67,150,L1,160,.581
BAL,89,71,76,W1,160,.556
BOS,80,80,7,L2,160,.500
TB,79,81,-62,W1,160,.494
TOR,74,86,-63,L1,160,.463
CLE,92,68,88,L1,160,.575
DET,86,74,48,W6,160,.538
KC,85,75,90,L1,160,.531
MIN,82,78,18,L2,160,.513
CWS,39,121,-314,L1,160,.244
HOU,87,73,90,W1,160,.544
SEA,83,77,66,W2,160,.519
TEX,76,84,-64,W1,160,.475
OAK,69,91,-118,L1,160,.431
LAA,63,97,-153,L4,160,.394
PHI,94,66,113,L1,160,.588
ATL,87,71,96,W4,158,.551
NYM,87,71,74,L2,158,.551
WSH,70,90,-104,W1,160,.438
MIA,60,100,-213,W2,160,.375
MIL,92,68,135,W2,160,.575
CHC,82,78,67,W1,160,.513
STL,82,78,-51,W1,160,.513
CIN,76,84,5,L4,160,.475
PIT,75,85,-77,W1,160,.469
LAD,96,64,144,W3,160,.600
SD,92,68,95,W1,160,.575
ARI,88,72,94,L1,160,.550
SF,79,81,-2,L2,160,.494
COL,61,99,-235,L1,160,.381
