team,wins,losses,run_diff,streak,games_played,win_pct
NYY,30,15,67,W4,45,.667
BAL,27,14,49,W1,41,.659
TB,23,22,-28,W2,45,.511
BOS,22,22,29,L2,44,.500
TOR,19,23,-47,L1,42,.452
CLE,27,17,48,L1,44,.614
KC,26,19,45,L1,45,.578
MIN,24,19,14,L3,43,.558
DET,21,22,1,L2,43,.488
CWS,14,30,-87,W2,44,.318
SEA,24,20,10,W1,44,.545
TEX,23,22,14,W1,45,.511
HOU,19,25,-10,W5,44,.432
OAK,19,27,-50,L5,46,.413
LAA,16,28,-38,W1,44,.364
PHI,31,14,71,L1,45,.689
ATL,26,14,48,L1,40,.650
WSH,20,22,-10,L2,42,.476
NYM,20,23,-8,W1,43,.465
MIA,13,32,-87,W2,45,.289
MIL,26,17,42,W2,43,.605
CHC,25,20,14,L1,45,.556
PIT,20,25,-33,W1,45,.444
CIN,19,25,2,W1,44,.432
STL,18,25,-50,L1,43,.419
LAD,29,17,76,L2,46,.630
SD,22,24,4,L3,46,.478
ARI,21,23,15,W1,44,.477
SF,20,25,-46,W1,45,.444
COL,15,28,-55,W7,43,.349
