game_date,home_team,away_team,winner
2024-08-24,Yankees,Rockies,Rockies
2024-08-24,Blue Jays,Angels,Blue Jays
2024-08-24,Orioles,Astros,Orioles
2024-08-24,Red Sox,D-backs,D-backs
2024-08-24,Marlins,Cubs,Cubs
2024-08-24,Mariners,Giants,Giants
2024-08-24,Pirates,Reds,Reds
2024-08-24,White Sox,Tigers,Tigers
2024-08-24,Guardians,Rangers,Guardians
2024-08-24,Royals,Phillies,Phillies
2024-08-24,Twins,Cardinals,Twins
2024-08-24,Braves,Nationals,Braves
2024-08-24,Padres,Mets,Mets
2024-08-24,Dodgers,Rays,Rays
