team_name,avg_launch_speed,avg_bat_speed,avg_swing_length
ATL,79.7835,69.62971428571429,7.129357142857143
BAL,88.78354166666666,72.23584595959596,7.339962121212121
BOS,78.69930555555555,68.23725427350428,7.28375
CHC,85.40518707482993,67.82801587301587,6.983730158730159
CIN,86.90714285714286,69.74857142857142,7.154166666666667
CLE,86.14940476190476,66.31349206349206,6.942857142857143
COL,85.55777777777776,71.49166666666666,7.459722222222222
CWS,83.01671428571429,68.60009523809524,7.208095238095238
DET,85.59236111111112,67.52554232804233,7.087513227513227
HOU,75.69277777777778,68.26992979242979,7.589768009768009
KC,88.1554761904762,70.67399505256648,7.285875077303649
LAA,80.71654761904763,67.96655423280423,6.630410052910054
LAD,85.31533333333333,70.18970562770562,7.369367965367966
MIA,83.45648148148148,70.22878787878788,6.704242424242424
MIL,82.4475,69.14462301587302,7.313253968253968
MIN,89.59326923076924,71.76579768270945,7.384603386809269
NYM,84.8638888888889,72.60024376417233,7.496213151927437
NYY,84.07721088435376,69.64646258503402,7.527142857142857
PHI,82.46035714285715,70.71448183760684,7.491314102564102
PIT,81.87599206349206,69.63849206349207,7.161111111111111
SD,77.59471088435374,69.53214285714286,7.357619047619048
SEA,87.2,68.666,7.159071428571428
SF,82.73571428571428,69.31772727272727,7.131818181818182
STL,85.04285714285713,71.29690476190476,7.367619047619049
TB,87.23783333333333,68.9865873015873,7.233531746031746
TEX,86.45,70.14662698412698,7.567970085470085
TOR,89.11222222222221,68.86937830687832,7.139318783068783
WSH,79.62420634920635,69.60970238095238,7.246130952380952
