team_name,avg_launch_speed,avg_bat_speed,avg_swing_length
ATL,87.01797619047619,73.20928571428571,7.290793650793651
BAL,83.27125,68.50028571428572,6.850666666666666
BOS,80.07166666666667,70.21166666666666,7.523095238095237
CHC,81.14549319727891,67.77681096681097,6.873463203463203
CIN,83.20139455782314,71.91843537414967,7.439954648526077
CLE,80.30183333333333,68.35044444444445,7.299015873015873
COL,84.615625,71.30082386363637,7.479431818181818
CWS,84.215,68.58238095238096,7.251904761904763
DET,84.34277777777778,71.90984848484848,7.496212121212121
HOU,83.35696428571428,67.76359126984127,7.133958333333333
KC,80.15994047619047,68.80451388888889,7.343847853535354
LAA,84.90642857142858,67.62388560687432,6.80514769065521
LAD,80.36133333333333,68.62714285714286,7.334857142857143
MIA,87.15833333333333,65.64848901098901,6.376071428571429
MIL,83.0696212121212,70.46593939393941,7.213020202020202
MIN,80.26611111111112,70.97929894179894,7.261243386243386
NYM,83.27166666666666,69.25166666666667,7.358571428571429
NYY,85.54136904761906,68.45629629629629,7.481798941798942
PHI,79.66876543209877,70.99048581048582,7.567383357383357
PIT,85.12583333333333,71.59464285714286,7.2749999999999995
SD,86.08694444444446,70.12553339517625,7.152682951968666
SEA,83.75565476190476,70.56701388888888,7.229861111111111
SF,85.015,68.58090314913845,7.102614379084968
STL,83.19585034013606,72.10974953617811,7.337949907235621
TB,77.1825,66.48174603174603,6.366666666666667
TEX,86.08742063492063,70.43204365079366,7.3684854497354495
TOR,86.17933333333333,67.09128205128205,7.157628205128205
WSH,84.10837962962962,69.6122564935065,7.31787518037518
