full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Merrill Kelly,85,89.04,2390.69,6.0,2,0,74.06,7.11,83.67,7.58,1
Andrew Heaney,516,87.64,2373.52,6.51,23,0,70.71,20.28,81.6,7.31,6
James Paxton,343,87.55,2022.47,6.37,17,0,69.82,20.04,84.16,7.15,5
Marcus Stroman,300,85.9,2356.31,5.71,8,0,70.66,10.21,83.36,7.39,4
Chris Bassitt,468,86.41,2162.23,6.41,28,0,69.58,20.26,82.23,6.85,5
Jeffrey Springs,246,84.97,1901.66,6.43,14,0,69.9,20.67,83.62,7.36,3
Tyler Glasnow,382,91.49,2630.96,7.32,25,0,70.77,9.25,82.91,7.15,4
Kyle Freeland,401,88.21,2285.24,6.61,26,0,71.17,20.82,83.98,7.56,5
Luis Severino,429,92.78,2248.65,6.38,28,0,69.85,21.18,80.86,7.09,5
Dylan Cease,523,91.86,2688.21,6.35,43,0,67.35,18.34,80.02,7.31,6
Bailey Falter,179,89.11,1986.49,7.24,6,0,67.56,19.47,85.37,6.84,3
Nick Lodolo,550,90.19,2281.79,6.17,33,0,68.59,17.09,82.62,7.1,6
MacKenzie Gore,439,91.33,2241.07,6.98,14,0,70.3,17.05,83.31,7.02,5
DL Hall,92,87.96,2289.34,6.8,9,0,68.94,33.2,82.71,7.36,1
Keider Montero,518,88.68,2395.67,6.37,24,0,70.88,21.93,84.13,7.2,6
Tanner Bibee,348,88.65,2378.66,6.64,14,0,69.01,22.21,82.79,7.1,4
JP Sears,444,86.55,2062.35,6.37,25,0,70.55,21.82,82.68,7.14,5
Max Meyer,344,90.64,2378.35,6.31,16,0,70.32,17.6,84.27,7.39,4
Spencer Schwellenbach,471,90.46,2180.12,6.75,39,0,68.81,15.82,82.95,7.29,5
Hunter Brown,586,92.87,2187.35,6.59,38,0,69.51,19.41,80.76,6.84,6
Jack Kochanowicz,167,91.98,2232.51,6.53,6,0,70.0,4.9,85.29,7.18,2
David Festa,293,90.56,2222.05,6.82,25,0,68.43,24.7,81.65,7.35,4
Hayden Birdsong,435,88.77,2331.17,6.5,29,0,68.17,14.86,82.76,7.24,5
