team,wins,losses,run_diff,streak,games_played,win_pct
BAL,67,46,89,W2,113,.593
NYY,67,46,121,W2,113,.593
BOS,59,52,30,W1,111,.532
TB,57,54,-43,W2,111,.514
TOR,52,61,-85,L2,113,.460
CLE,67,44,85,L2,111,.604
MIN,62,48,59,W4,110,.564
KC,63,50,95,W1,113,.558
DET,53,60,-24,L1,113,.469
CWS,27,87,-247,L20,114,.237
SEA,59,54,24,L1,113,.522
HOU,57,54,41,L2,111,.514
TEX,53,59,-20,L1,112,.473
LAA,49,63,-96,W2,112,.438
OAK,46,67,-73,L2,113,.407
PHI,66,45,99,W1,111,.595
ATL,60,51,55,L2,111,.541
NYM,58,53,28,L2,111,.523
WSH,51,61,-56,W2,112,.455
MIA,42,70,-140,W2,112,.375
MIL,62,49,79,L2,111,.559
STL,57,55,-42,L1,112,.509
PIT,56,55,-5,L1,111,.505
CHC,55,59,0,W1,114,.482
CIN,53,58,28,L1,111,.477
LAD,65,47,96,W2,112,.580
SD,61,52,48,W2,113,.540
ARI,60,52,45,W1,112,.536
SF,56,57,-11,W1,113,.496
COL,41,72,-180,L2,113,.363
