game_date,home_team,away_team,winner
2024-05-07,Guardians,Tigers,Tigers
2024-05-07,Reds,D-backs,D-backs
2024-05-07,Phillies,Blue Jays,Phillies
2024-05-07,Pirates,Angels,Angels
2024-05-07,Nationals,Orioles,Nationals
2024-05-07,Rays,White Sox,Rays
2024-05-07,Yankees,Astros,Yankees
2024-05-07,Braves,Red Sox,Braves
2024-05-07,Cubs,Padres,Cubs
2024-05-07,Royals,Brewers,Brewers
2024-05-07,Twins,Mariners,Mariners
2024-05-07,Cardinals,Mets,Mets
2024-05-07,Rockies,Giants,Giants
2024-05-07,Dodgers,Marlins,Dodgers
