team,wins,losses,run_diff,streak,games_played,win_pct
BAL,65,44,93,W2,109,.596
NYY,65,45,118,W5,110,.591
BOS,57,51,23,W1,108,.528
TB,55,53,-48,L1,108,.509
TOR,51,59,-82,L2,110,.464
CLE,65,42,81,W3,107,.607
MIN,59,48,41,W1,107,.551
KC,60,49,82,W3,109,.550
DET,52,57,-11,L3,109,.477
CWS,27,84,-229,L17,111,.243
HOU,56,52,46,W1,108,.519
SEA,57,53,21,L1,110,.518
TEX,52,57,-13,L2,109,.477
LAA,47,61,-93,L1,108,.435
OAK,45,65,-63,L1,110,.409
PHI,65,43,102,L4,108,.602
ATL,58,49,59,W2,107,.542
NYM,57,51,26,L1,108,.528
WSH,49,60,-54,L4,109,.450
MIA,40,68,-144,W1,108,.370
MIL,61,47,77,L2,108,.565
STL,56,52,-35,W2,108,.519
PIT,55,53,-5,L1,108,.509
CIN,52,56,35,L1,108,.481
CHC,52,58,-7,W1,110,.473
LAD,63,46,86,L2,109,.578
SD,59,51,42,W2,110,.536
ARI,58,51,45,W3,109,.532
SF,54,56,-18,W1,110,.491
COL,39,70,-175,W1,109,.358
