mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,79.7,71.41,7.69,14,0,2,9.0,78.0,371.0,0.25,0.38
502671,paul goldschmidt,NYY,90.19,67.54,6.99,24,0,2,8.0,66.0,385.0,0.29,0.43
514888,josé altuve,HOU,79.28,67.77,8.12,14,0,2,17.0,68.0,426.0,0.28,0.46
518692,freddie freeman,LAD,84.2,67.76,6.43,13,0,2,10.0,86.0,384.0,0.3,0.47
521692,salvador pérez,KC,87.8,71.41,8.31,17,0,1,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,77.38,64.2,6.83,22,0,0,12.0,65.0,363.0,0.24,0.38
542303,marcell ozuna,ATL,81.85,73.82,6.82,11,0,0,13.0,90.0,396.0,0.24,0.39
543760,marcus semien,TEX,76.92,65.04,7.68,18,0,1,13.0,80.0,429.0,0.23,0.36
543807,george springer,TOR,80.67,67.34,7.5,12,1,0,17.0,73.0,393.0,0.29,0.5
553993,eugenio suárez,AZ,77.55,71.6,7.74,16,0,1,36.0,111.0,421.0,0.25,0.59
571448,nolan arenado,STL,85.27,66.26,8.29,12,0,0,10.0,36.0,379.0,0.24,0.38
572233,christian walker,HOU,80.13,70.45,6.99,20,0,2,13.0,114.0,412.0,0.23,0.38
573262,mike yastrzemski,SF,83.05,71.77,7.4,5,1,0,8.0,82.0,358.0,0.24,0.36
592206,nick castellanos,PHI,78.24,69.59,7.56,17,0,0,13.0,85.0,421.0,0.27,0.43
592450,aaron judge,NYY,89.38,79.78,8.33,21,0,0,37.0,120.0,459.0,0.34,0.71
592518,manny machado,SD,78.24,71.39,7.63,16,0,0,19.0,76.0,443.0,0.29,0.49
592885,christian yelich,MIL,76.67,70.77,7.43,16,0,0,19.0,112.0,412.0,0.26,0.44
596019,francisco lindor,NYM,89.5,73.64,7.63,18,0,1,20.0,85.0,462.0,0.25,0.44
596146,max kepler,PHI,91.7,67.78,7.57,11,0,1,11.0,66.0,338.0,0.2,0.36
605137,josh bell,WSH,79.12,68.15,7.57,14,0,0,13.0,59.0,348.0,0.22,0.39
605141,mookie betts,LAD,85.82,68.39,6.84,20,0,0,11.0,46.0,414.0,0.24,0.37
606192,teoscar hernández,LAD,90.26,75.09,7.91,11,0,1,15.0,80.0,335.0,0.25,0.46
607043,brandon nimmo,NYM,75.55,75.84,7.21,18,0,0,19.0,81.0,414.0,0.26,0.47
621020,dansby swanson,CHC,83.58,71.93,7.17,13,0,2,16.0,115.0,426.0,0.25,0.42
621043,carlos correa,MIN,76.3,75.72,7.59,21,0,4,7.0,66.0,349.0,0.27,0.39
621439,byron buxton,MIN,85.07,74.83,8.33,14,0,1,23.0,97.0,361.0,0.28,0.57
621493,taylor ward,LAA,81.1,69.93,7.43,13,0,0,23.0,119.0,442.0,0.23,0.48
621566,matt olson,ATL,82.95,66.89,6.5,16,0,0,18.0,106.0,453.0,0.26,0.47
624413,pete alonso,NYM,85.8,77.76,7.59,16,1,2,22.0,105.0,450.0,0.27,0.51
641355,cody bellinger,NYY,56.23,63.76,7.49,20,0,1,19.0,55.0,401.0,0.28,0.51
641857,ryan mcmahon,COL,63.47,72.74,7.4,20,0,3,16.0,127.0,401.0,0.22,0.4
642715,willy adames,SF,90.08,74.23,7.93,15,0,1,15.0,113.0,438.0,0.23,0.4
645277,ozzie albies,ATL,78.96,69.69,7.12,12,1,1,9.0,68.0,432.0,0.22,0.33
646240,rafael devers,SF,89.7,72.37,7.67,12,0,1,19.0,120.0,474.0,0.26,0.48
647304,josh naylor,AZ,92.54,77.18,7.93,21,1,0,11.0,51.0,398.0,0.29,0.44
650333,luis arráez,SD,83.24,62.24,6.52,14,0,1,5.0,12.0,428.0,0.29,0.4
650402,gleyber torres,DET,84.95,68.89,7.32,14,1,0,9.0,51.0,392.0,0.28,0.41
650489,willi castro,MIN,80.05,64.9,6.34,12,0,1,10.0,81.0,323.0,0.25,0.42
650490,yandy díaz,TB,85.86,74.26,7.84,19,0,1,17.0,61.0,436.0,0.29,0.47
650859,luis rengifo,LAA,74.78,65.07,6.41,15,0,0,4.0,66.0,367.0,0.24,0.32
656716,zach mckinstry,DET,80.43,66.34,6.57,19,1,1,8.0,73.0,356.0,0.27,0.44
656941,kyle schwarber,PHI,75.06,76.49,7.75,26,0,2,36.0,121.0,458.0,0.26,0.58
657757,gavin sheets,SD,70.3,72.55,7.5,13,0,1,14.0,75.0,383.0,0.25,0.42
660271,shohei ohtani,LAD,89.5,74.89,7.82,21,0,2,37.0,121.0,470.0,0.27,0.62
660821,jesús sánchez,MIA,88.77,73.55,7.05,23,0,2,9.0,67.0,321.0,0.26,0.42
661388,william contreras,MIL,83.72,70.72,7.16,20,0,1,6.0,80.0,422.0,0.24,0.34
663538,nico hoerner,CHC,76.38,69.45,7.92,11,0,0,3.0,30.0,407.0,0.29,0.37
663586,austin riley,ATL,76.6,73.87,7.15,23,0,2,14.0,114.0,412.0,0.27,0.44
663616,trevor larnach,MIN,83.3,69.09,7.23,15,0,1,13.0,86.0,384.0,0.24,0.4
663647,ke'bryan hayes,PIT,73.6,73.7,7.5,12,0,0,2.0,79.0,377.0,0.24,0.3
663697,jonathan india,KC,81.47,66.42,7.38,17,0,1,4.0,68.0,411.0,0.24,0.34
663993,nathaniel lowe,WSH,77.53,73.57,7.43,9,0,0,15.0,118.0,428.0,0.22,0.39
664023,ian happ,CHC,97.94,71.9,7.01,18,0,1,13.0,95.0,429.0,0.22,0.37
664034,ty france,MIN,86.27,65.2,7.12,17,0,0,6.0,60.0,374.0,0.25,0.36
664040,brandon lowe,TB,91.58,68.41,7.09,17,1,2,19.0,89.0,350.0,0.27,0.48
664761,alec bohm,PHI,88.03,66.96,7.32,19,1,2,8.0,62.0,383.0,0.28,0.39
665161,jeremy peña,HOU,84.93,69.84,7.07,16,0,0,11.0,55.0,350.0,0.32,0.49
