game_date,home_team,away_team,winner
2024-08-07,Guardians,D-backs,D-backs
2024-08-07,Yankees,Angels,Angels
2024-08-07,Guardians,D-backs,D-backs
2024-08-07,Cubs,Twins,Cubs
2024-08-07,Rangers,Astros,Astros
2024-08-07,Yankees,Angels,Yankees
2024-08-07,Marlins,Reds,Marlins
2024-08-07,Pirates,Padres,Padres
2024-08-07,Nationals,Giants,Giants
2024-08-07,Blue Jays,Orioles,Orioles
2024-08-07,Braves,Brewers,Brewers
2024-08-07,Cardinals,Rays,Cardinals
2024-08-07,Royals,Red Sox,Royals
2024-08-07,Rockies,Mets,Mets
2024-08-07,Mariners,Tigers,Tigers
2024-08-07,Dodgers,Phillies,Phillies
