game_date,home_team,away_team,winner
2024-07-27,Giants,Rockies,Giants
2024-07-27,Blue Jays,Rangers,Blue Jays
2024-07-27,Orioles,Padres,Padres
2024-07-27,Mets,Braves,Braves
2024-07-27,Rays,Reds,Rays
2024-07-27,Phillies,Guardians,Phillies
2024-07-27,Tigers,Twins,Tigers
2024-07-27,Giants,Rockies,Giants
2024-07-27,Astros,Dodgers,Astros
2024-07-27,Royals,Cubs,Cubs
2024-07-27,Brewers,Marlins,Marlins
2024-07-27,Red Sox,Yankees,Yankees
2024-07-27,White Sox,Mariners,Mariners
2024-07-27,Cardinals,Nationals,Nationals
2024-07-27,D-backs,Pirates,D-backs
