game_date,home_team,away_team,winner
2024-05-03,Cubs,Brewers,Brewers
2024-05-03,Reds,Orioles,Orioles
2024-05-03,Phillies,Giants,Phillies
2024-05-03,Pirates,Rockies,Rockies
2024-05-03,Nationals,Blue Jays,Nationals
2024-05-03,Rays,Mets,Rays
2024-05-03,Yankees,Tigers,Yankees
2024-05-03,Guardians,Angels,Angels
2024-05-03,Royals,Rangers,Royals
2024-05-03,Astros,Mariners,Astros
2024-05-03,Twins,Red Sox,Twins
2024-05-03,Cardinals,White Sox,Cardinals
2024-05-03,D-backs,Padres,Padres
2024-05-03,Dodgers,Braves,Dodgers
