game_date,home_team,away_team,winner
2025-07-23,Nationals,Reds,Reds
2025-07-23,Marlins,Padres,Marlins
2025-07-23,Braves,Giants,Giants
2025-07-23,Pirates,Tigers,Pirates
2025-07-23,Mets,Angels,Mets
2025-07-23,Cubs,Royals,Royals
2025-07-23,Rockies,Cardinals,Rockies
2025-07-23,D-backs,Astros,Astros
2025-07-23,Mariners,Brewers,Brewers
2025-07-23,Dodgers,Twins,Dodgers
2025-07-23,Guardians,Orioles,Guardians
2025-07-23,Blue Jays,Yankees,Blue Jays
2025-07-23,Phillies,Red Sox,Red Sox
2025-07-23,Rays,White Sox,White Sox
2025-07-23,Rangers,Athletics,Rangers
