full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Andrew Heaney,459,87.29,2412.63,6.44,30,0,70.19,20.4,81.0,7.33,5
Miles Mikolas,522,88.15,2249.91,6.38,16,0,70.97,18.75,83.73,7.19,6
James Paxton,439,87.48,2000.72,6.34,21,0,69.3,21.25,85.07,7.11,5
Marcus Stroman,451,86.16,2341.16,5.66,21,0,70.02,14.57,80.17,7.29,5
Kevin Gausman,502,91.66,2178.34,6.63,29,0,71.16,25.33,83.17,7.22,5
Marco Gonzales,144,83.77,2130.76,6.42,8,0,71.68,22.44,82.49,7.58,2
Ben Lively,504,86.17,1945.75,6.78,28,0,68.68,18.65,84.52,6.94,6
Seth Lugo,477,87.16,2572.8,6.0,34,0,70.61,14.07,81.3,7.31,5
Carson Fulmer,326,90.15,2117.67,6.35,22,0,70.77,14.29,83.34,7.33,8
Aaron Civale,452,85.87,2655.76,5.69,23,0,71.06,21.85,81.05,7.38,5
Joe Ryan,481,90.11,2286.97,6.68,35,0,69.18,20.16,80.93,7.01,5
Ryan Feltner,443,88.88,2277.77,6.5,24,0,70.21,16.91,80.6,7.29,5
Jake Irvin,573,88.44,2434.83,7.16,34,0,69.49,18.57,82.69,7.03,6
Tyler Phillips,217,87.39,2293.64,6.48,15,0,72.73,8.0,84.75,7.48,3
Dean Kremer,340,88.16,2071.04,6.22,17,0,69.37,18.29,82.5,7.28,4
Shane Baz,236,91.19,2364.11,6.55,12,0,70.43,24.7,86.69,7.1,3
Trevor Rogers,570,88.8,2218.87,6.78,29,0,71.78,16.05,82.62,7.33,6
Ronel Blanco,572,87.81,1998.0,6.77,30,0,70.47,18.0,81.99,7.52,6
Andrew Abbott,577,88.48,2395.12,6.61,27,0,70.08,26.6,81.97,7.19,6
Keider Montero,411,88.03,2410.58,6.43,20,0,69.26,17.96,85.3,7.17,5
Kutter Crawford,418,87.24,2307.11,6.11,26,0,70.69,25.07,84.96,7.36,6
Spencer Schwellenbach,444,89.31,2123.27,6.84,30,0,69.66,12.16,82.73,7.44,5
Christian Scott,333,89.89,2195.38,7.05,14,0,70.69,25.44,83.81,7.07,4
Joey Estes,501,86.88,2368.84,5.96,23,0,70.55,29.62,81.61,7.18,6
Shota Imanaga,443,87.17,2070.29,6.31,30,0,71.25,26.95,81.36,7.52,5
Drew Thorpe,445,85.09,2245.62,6.35,20,0,70.11,22.43,78.28,7.51,5
Bryan Woo,199,93.41,2250.69,6.71,9,0,68.88,18.82,81.96,6.93,3
Brandon Pfaadt,404,90.36,2566.62,6.69,27,0,70.76,19.19,85.74,7.38,5
Hayden Birdsong,447,89.96,2262.63,6.44,30,0,67.22,16.96,81.84,7.17,5
