team,wins,losses,run_diff,streak,games_played,win_pct
TOR,51,38,11,W7,89,.573
NYY,48,41,93,L6,89,.539
TB,48,41,67,L2,89,.539
BOS,45,45,31,W2,90,.500
BAL,39,49,-83,W2,88,.443
DET,56,34,101,W2,90,.622
MIN,43,46,-16,W2,89,.483
KC,42,48,-34,L1,90,.467
CLE,40,47,-54,L9,87,.460
CWS,30,59,-82,W2,89,.337
HOU,54,35,67,W2,89,.607
SEA,47,42,21,W2,89,.528
TEX,44,45,28,W1,89,.494
LAA,43,45,-48,L2,88,.489
Athletics,37,54,-136,L1,91,.407
PHI,52,37,53,W1,89,.584
NYM,52,38,46,W4,90,.578
MIA,40,47,-69,W1,87,.460
ATL,39,49,5,L3,88,.443
WSH,37,52,-84,L2,89,.416
CHC,53,36,115,L1,89,.596
MIL,49,40,55,L1,89,.551
STL,48,42,26,W1,90,.533
CIN,46,43,34,L1,89,.517
PIT,38,52,-36,L2,90,.422
LAD,56,34,81,L2,90,.622
SD,47,41,9,L1,88,.534
SF,48,42,26,W1,90,.533
ARI,44,45,4,W1,89,.494
COL,20,69,-231,L2,89,.225
