game_date,home_team,away_team,winner
2024-09-20,Cubs,Nationals,Cubs
2024-09-20,Reds,Pirates,Reds
2024-09-20,Rays,Blue Jays,Rays
2024-09-20,Orioles,Tigers,Orioles
2024-09-20,Red Sox,Twins,Twins
2024-09-20,Marlins,Braves,Marlins
2024-09-20,Mets,Phillies,Phillies
2024-09-20,Rangers,Mariners,Mariners
2024-09-20,Astros,Angels,Astros
2024-09-20,Royals,Giants,Giants
2024-09-20,Brewers,D-backs,D-backs
2024-09-20,Cardinals,Guardians,Guardians
2024-09-20,Padres,White Sox,Padres
2024-09-20,Dodgers,Rockies,Dodgers
