team,wins,losses,run_diff,streak,games_played,win_pct
BAL,60,41,85,L3,101,.594
NYY,60,44,99,L2,104,.577
BOS,54,48,26,L1,102,.529
TB,51,51,-67,L1,102,.500
TOR,47,55,-66,W1,102,.461
CLE,61,40,80,W2,101,.604
MIN,56,45,45,W1,101,.554
KC,56,47,74,L2,103,.544
DET,50,53,1,L2,103,.485
CWS,27,77,-201,L10,104,.260
HOU,53,49,49,W1,102,.520
SEA,53,51,9,L3,104,.510
TEX,50,52,8,W4,102,.490
LAA,45,57,-93,W4,102,.441
OAK,41,63,-67,L1,104,.394
PHI,64,38,109,L1,102,.627
ATL,54,46,50,L4,100,.540
NYM,53,48,22,W3,101,.525
WSH,47,55,-44,L2,102,.461
MIA,37,65,-145,W2,102,.363
MIL,59,43,84,W2,102,.578
STL,53,49,-36,L1,102,.520
PIT,52,50,-6,W1,102,.510
CIN,49,53,39,W2,102,.480
CHC,49,55,-10,L2,104,.471
LAD,61,42,94,L1,103,.592
SD,54,50,26,W4,104,.519
ARI,53,50,22,W2,103,.515
SF,49,54,-30,W1,103,.476
COL,38,65,-157,W1,103,.369
