game_date,home_team,away_team,winner
2025-07-04,Nationals,Red Sox,Red Sox
2025-07-04,Phillies,Reds,Reds
2025-07-04,Cubs,Cardinals,Cubs
2025-07-04,Mets,Yankees,Mets
2025-07-04,Twins,Rays,Twins
2025-07-04,Mariners,Pirates,Mariners
2025-07-04,Padres,Rangers,Padres
2025-07-04,Blue Jays,Angels,Blue Jays
2025-07-04,Guardians,Tigers,Tigers
2025-07-04,Marlins,Brewers,Brewers
2025-07-04,Braves,Orioles,Orioles
2025-07-04,Rockies,White Sox,White Sox
2025-07-04,Dodgers,Astros,Astros
2025-07-04,D-backs,Royals,Royals
2025-07-04,Athletics,Giants,Athletics
