team,wins,losses,run_diff,streak,games_played,win_pct
NYY,45,19,118,W8,64,.703
BAL,39,22,86,L2,61,.639
BOS,32,31,38,W2,63,.508
TB,31,31,-47,W3,62,.500
TOR,30,32,-43,W2,62,.484
CLE,40,21,80,L1,61,.656
KC,37,26,72,W1,63,.587
MIN,33,29,-5,L3,62,.532
DET,31,31,-3,L1,62,.500
CWS,15,48,-152,L14,63,.238
SEA,36,28,10,W1,64,.563
TEX,30,32,13,W1,62,.484
HOU,28,35,-3,L1,63,.444
OAK,25,39,-67,L1,64,.391
LAA,24,38,-51,W3,62,.387
PHI,44,19,104,W3,63,.698
ATL,35,25,39,W1,60,.583
NYM,27,35,-29,W3,62,.435
WSH,27,35,-28,L4,62,.435
MIA,21,41,-88,L4,62,.339
MIL,36,26,58,L3,62,.581
CHC,31,32,-14,L1,63,.492
CIN,30,33,15,W5,63,.476
STL,29,32,-46,L1,61,.475
PIT,29,33,-24,L1,62,.468
LAD,39,25,85,W1,64,.609
SD,32,34,6,L5,66,.485
ARI,30,33,0,W1,63,.476
SF,30,33,-28,W1,63,.476
COL,22,40,-96,W1,62,.355
