team,wins,losses,run_diff,streak,games_played,win_pct
NYY,45,21,109,L2,66,.682
BAL,41,22,94,W2,63,.651
BOS,32,33,28,L2,65,.492
TB,31,33,-55,L2,64,.484
TOR,31,33,-37,W1,64,.484
CLE,41,22,87,W1,63,.651
KC,39,26,77,W3,65,.600
MIN,33,31,-12,L5,64,.516
DET,31,33,-14,L3,64,.484
CWS,17,48,-142,W2,65,.262
SEA,36,30,5,L2,66,.545
TEX,30,34,8,L2,64,.469
HOU,30,35,8,W2,65,.462
OAK,26,40,-73,L1,66,.394
LAA,24,40,-62,L2,64,.375
PHI,45,19,109,W4,64,.703
ATL,35,27,34,L2,62,.565
WSH,29,35,-23,W2,64,.453
NYM,27,36,-34,L1,63,.429
MIA,22,42,-95,L1,64,.344
MIL,38,26,69,W2,64,.594
CIN,32,33,17,W7,65,.492
PIT,31,33,-17,W2,64,.484
CHC,31,34,-16,L3,65,.477
STL,30,33,-44,L1,63,.476
LAD,41,25,94,W3,66,.621
SD,34,34,25,W2,68,.500
SF,32,33,-23,W3,65,.492
ARI,30,35,-19,L2,65,.462
COL,23,41,-98,W1,64,.359
