game_date,home_team,away_team,winner
2024-05-04,Yankees,Tigers,Yankees
2024-05-04,Twins,Red Sox,Twins
2024-05-04,Cardinals,White Sox,White Sox
2024-05-04,Cubs,Brewers,Cubs
2024-05-04,Pirates,Rockies,Pirates
2024-05-04,Nationals,Blue Jays,Blue Jays
2024-05-04,Phillies,Giants,Phillies
2024-05-04,Guardians,Angels,Guardians
2024-05-04,Reds,Orioles,Orioles
2024-05-04,Royals,Rangers,Rangers
2024-05-04,Astros,Mariners,Mariners
2024-05-04,Rays,Mets,Rays
2024-05-04,D-backs,Padres,Padres
2024-05-04,Dodgers,Braves,Dodgers
