game_date,home_team,away_team,winner
2024-08-27,White Sox,Rangers,Rangers
2024-08-27,Guardians,Royals,Royals
2024-08-27,Tigers,Angels,Tigers
2024-08-27,Phillies,Astros,Phillies
2024-08-27,Pirates,Cubs,Cubs
2024-08-27,Nationals,Yankees,Nationals
2024-08-27,Red Sox,Blue Jays,Red Sox
2024-08-27,Twins,Braves,Braves
2024-08-27,Cardinals,Padres,Padres
2024-08-27,Brewers,Giants,Giants
2024-08-27,Rockies,Marlins,Marlins
2024-08-27,D-backs,Mets,Mets
2024-08-27,Mariners,Rays,Rays
2024-08-27,Dodgers,Orioles,Orioles
