full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Carlos Carrasco,286,88.22,2066.93,6.61,17,0,69.39,8.7,80.87,7.34,4
Jose Quintana,503,86.24,1950.23,6.59,26,0,68.53,15.0,81.54,7.33,6
Chris Sale,470,87.49,2231.52,6.4,37,0,67.99,16.49,80.04,7.37,5
Nathan Eovaldi,371,90.6,1949.12,6.52,26,0,70.71,10.79,83.31,7.25,5
Taijuan Walker,525,86.41,2045.44,5.94,27,0,71.83,13.14,85.83,7.29,6
Colin Rea,463,88.61,2111.07,6.58,19,0,71.05,15.61,83.16,7.28,6
Erick Fedde,587,89.33,2061.16,6.67,34,0,69.33,15.33,81.98,7.13,6
Dakota Hudson,504,85.61,2264.49,6.16,15,0,70.71,10.11,84.3,7.43,6
Dylan Cease,609,90.66,2640.43,6.25,43,0,68.47,22.63,82.82,7.3,6
Jack Flaherty,361,87.1,2366.69,6.6,36,0,69.72,18.8,80.51,7.39,5
Jordan Montgomery,475,86.58,2140.53,6.72,24,0,70.92,11.89,83.71,7.5,6
Patrick Sandoval,516,87.4,2189.92,6.29,27,0,69.35,18.33,82.34,7.28,6
Brady Singer,442,87.49,2291.76,6.92,19,0,69.84,13.91,82.17,7.28,5
Chris Paddack,467,87.25,2089.91,6.86,23,0,69.82,17.38,85.62,7.16,6
Carmen Mlodzinski,304,91.76,2399.88,6.46,15,0,69.47,24.07,82.44,7.08,12
Trevor Rogers,448,88.0,2223.72,6.75,18,0,71.12,15.59,82.44,7.24,5
George Kirby,541,91.93,2122.05,6.66,35,0,68.69,16.24,82.87,6.99,6
Andrew Abbott,473,88.33,2390.66,6.57,27,0,70.48,28.87,81.46,7.21,5
Kutter Crawford,527,86.48,2308.71,6.13,37,0,69.97,22.75,82.55,7.26,6
Grayson Rodriguez,570,90.06,2350.81,7.28,41,0,69.78,19.05,83.03,7.16,6
Joey Estes,498,87.67,2428.01,5.91,22,0,70.05,30.38,83.63,7.16,6
Shota Imanaga,421,86.04,1927.72,6.31,23,0,70.26,22.72,82.62,7.42,5
Ryan Pepiot,500,91.38,2454.86,6.72,34,0,69.62,27.46,84.27,7.09,6
DJ Herz,322,88.62,2231.64,6.67,26,0,70.82,24.24,82.45,7.28,4
Landon Knack,73,88.68,2212.27,5.87,2,0,67.88,25.61,82.24,6.99,1
Jake Bloss,79,88.47,2443.78,6.97,2,0,70.4,23.06,80.28,7.3,1
