mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
502671,paul goldschmidt,NYY,76.04,72.77,7.63,15,0,0,8.0,66.0,385.0,0.29,0.43
514888,josé altuve,HOU,75.91,67.49,8.14,13,0,2,17.0,68.0,426.0,0.28,0.46
518692,freddie freeman,LAD,77.63,67.7,6.7,29,0,0,10.0,86.0,384.0,0.3,0.47
521692,salvador pérez,KC,88.15,69.52,7.4,15,0,1,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,80.35,63.53,7.08,25,2,1,12.0,65.0,363.0,0.24,0.38
542303,marcell ozuna,ATL,89.96,69.91,6.76,14,0,0,13.0,90.0,396.0,0.24,0.39
543760,marcus semien,TEX,60.2,59.67,7.17,14,0,0,13.0,80.0,429.0,0.23,0.36
543807,george springer,TOR,80.01,68.56,7.18,19,0,0,17.0,73.0,393.0,0.29,0.5
553993,eugenio suárez,AZ,82.13,70.59,7.57,14,0,2,36.0,111.0,421.0,0.25,0.59
571448,nolan arenado,STL,85.42,70.32,8.31,27,0,0,10.0,36.0,379.0,0.24,0.38
572233,christian walker,HOU,73.53,73.59,7.61,18,0,3,13.0,114.0,412.0,0.23,0.38
573262,mike yastrzemski,SF,73.1,70.81,7.82,25,0,2,8.0,82.0,358.0,0.24,0.36
592450,aaron judge,NYY,83.52,74.46,7.9,28,0,0,37.0,120.0,459.0,0.34,0.71
592885,christian yelich,MIL,78.58,71.96,7.82,22,0,0,19.0,112.0,412.0,0.26,0.44
596146,max kepler,PHI,81.7,67.58,7.55,23,0,3,11.0,66.0,338.0,0.2,0.36
605137,josh bell,WSH,86.64,74.2,8.05,15,1,0,13.0,59.0,348.0,0.22,0.39
605141,mookie betts,LAD,80.65,63.42,6.78,25,0,1,11.0,46.0,414.0,0.24,0.37
606192,teoscar hernández,LAD,93.07,71.6,8.17,14,0,1,15.0,80.0,335.0,0.25,0.46
621020,dansby swanson,CHC,91.25,72.24,7.23,15,1,1,16.0,115.0,426.0,0.25,0.42
