mlbam_id,avg_launch_speed,avg_bat_speed,avg_swing_length,recent_home_runs,recent_strikeouts,plate_appearances,home_run_rate,strikeout_rate
444482,82.65,67.07777777777778,7.444444444444445,0,1,14,0.0,0.07142857142857142
453568,84.38,63.271428571428565,6.785714285714286,1,1,19,0.05263157894736842,0.05263157894736842
457759,73.9,63.870000000000005,6.13,0,1,24,0.0,0.041666666666666664
467793,85.12857142857142,73.26666666666667,7.877777777777778,0,1,20,0.0,0.05
500743,82.39999999999999,66.62857142857142,7.242857142857143,0,0,11,0.0,0.0
502054,76.8,72.975,6.95,0,1,6,0.0,0.16666666666666666
502110,82.78571428571429,73.06363636363636,8.818181818181818,0,1,22,0.0,0.045454545454545456
502671,82.0,73.72727272727273,7.5181818181818185,1,0,21,0.047619047619047616,0.0
514888,78.66,63.199999999999996,7.7,0,1,12,0.0,0.08333333333333333
518595,87.46000000000001,71.275,8.0875,0,1,14,0.0,0.07142857142857142
518934,87.8375,68.9625,7.125,0,0,17,0.0,0.0
519317,100.10000000000001,81.2,8.754545454545454,0,1,22,0.0,0.045454545454545456
521692,83.10000000000001,71.30909090909091,7.954545454545454,0,0,21,0.0,0.0
542303,92.07777777777778,69.04545454545455,6.990909090909091,0,0,22,0.0,0.0
543257,75.05999999999999,67.21428571428571,6.571428571428571,0,1,19,0.0,0.05263157894736842
543685,88.025,71.05,7.1,0,1,15,0.0,0.06666666666666667
543760,90.56,67.56666666666666,7.433333333333334,0,0,17,0.0,0.0
543807,73.35,71.45555555555556,7.7666666666666675,0,1,19,0.0,0.05263157894736842
545341,83.03333333333335,74.45714285714287,7.185714285714285,0,0,12,0.0,0.0
547180,76.5625,68.37777777777778,6.288888888888889,0,0,17,0.0,0.0
553993,82.63333333333334,74.1375,7.825,0,3,19,0.0,0.15789473684210525
570482,82.825,65.53999999999999,7.33,0,0,15,0.0,0.0
571448,99.23333333333333,74.26666666666667,8.833333333333334,0,0,6,0.0,0.0
571745,79.94285714285715,71.30909090909091,7.372727272727272,0,2,16,0.0,0.125
571771,98.93333333333334,72.16666666666667,7.5,0,0,4,0.0,0.0
571970,80.9,70.58,6.9,0,1,19,0.0,0.05263157894736842
572138,80.78,68.12,6.640000000000001,0,0,18,0.0,0.0
572191,85.36666666666667,69.5,7.5,0,2,15,0.0,0.13333333333333333
573262,90.11818181818181,71.23076923076923,7.523076923076923,1,0,25,0.04,0.0
592192,72.65,65.85,6.55,0,1,7,0.0,0.14285714285714285
592200,85.2,53.61999999999999,6.58,0,1,9,0.0,0.1111111111111111
592206,87.66,72.125,7.125,1,1,14,0.07142857142857142,0.07142857142857142
592273,78.67999999999999,71.25714285714285,7.114285714285714,0,1,16,0.0,0.0625
592325,90.8,72.775,7.275,0,1,8,0.0,0.125
592450,89.95,77.67142857142858,8.257142857142856,0,1,18,0.0,0.05555555555555555
592518,88.4375,73.64444444444445,7.644444444444444,1,0,18,0.05555555555555555,0.0
592626,,67.4,9.25,0,1,5,0.0,0.2
592663,90.78,72.4375,7.3,0,1,18,0.0,0.05555555555555555
593160,74.22222222222223,58.455555555555556,6.377777777777777,0,1,21,0.0,0.047619047619047616
593428,92.74,68.88,6.82,0,1,17,0.0,0.058823529411764705
593871,72.55000000000001,66.6,7.550000000000001,0,3,16,0.0,0.1875
595777,88.00909090909092,71.71818181818182,7.3090909090909095,0,1,19,0.0,0.05263157894736842
595909,70.325,63.625,7.2375,0,2,18,0.0,0.1111111111111111
596019,92.58333333333333,71.5142857142857,7.7,0,1,11,0.0,0.09090909090909091
596146,67.225,68.53999999999999,8.01,0,2,17,0.0,0.11764705882352941
602104,78.1,68.8125,7.575,1,1,17,0.058823529411764705,0.058823529411764705
605137,78.01666666666667,58.73,7.390000000000001,0,0,21,0.0,0.0
605141,89.94,67.71666666666665,6.716666666666666,0,0,20,0.0,0.0
605346,86.1,69.275,7.325,0,1,16,0.0,0.0625
606115,85.975,71.18571428571428,8.1,0,1,24,0.0,0.041666666666666664
606192,95.73333333333333,75.24,8.1,0,1,10,0.0,0.1
607043,78.11818181818181,69.75,7.183333333333334,0,0,26,0.0,0.0
607208,89.81666666666666,67.64285714285714,7.014285714285714,0,0,14,0.0,0.0
607680,77.81666666666666,65.51428571428572,7.228571428571428,0,0,14,0.0,0.0
