game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2024-09-04,PHI,TOR,CRISTOPHER SANCHEZ,BOWDEN FRANCIS,533.0,87.56,1965.29,6.79,45.0,0.0,69.66,26.49,82.6,7.12,6.0,,,,,,,,,,,,82.50550000000001,68.22009523809524,7.081968253968254,82.61745535714286,66.21557088744589,7.202123917748917,55.0,41.0,17.0,L2,96.0,0.573,55,41,63,W1,96,0.573
2024-09-04,CWS,BAL,JONATHAN CANNON,ALBERT SUAREZ,,,,,,,,,,,,561.0,88.77,2161.81,6.18,24.0,0.0,71.07,18.05,82.64,7.17,6.0,84.29812925170067,71.48706349206348,6.995674603174604,87.49821428571428,69.2747619047619,7.047619047619048,43.0,52.0,-90.0,L2,95.0,0.453,32,65,-98,L2,97,0.33
2024-09-04,WSH,MIA,MACKENZIE GORE,VALENTE BELLOZO,512.0,83.06,2301.71,5.97,18.0,0.0,70.65,32.26,85.0,7.2,6.0,559.0,91.34,2242.6,6.9,33.0,0.0,69.3,16.1,83.53,7.04,6.0,77.84464285714286,67.6512012987013,6.430844155844156,80.36203042328043,68.68991883116884,7.118809523809524,44.0,51.0,-55.0,W2,95.0,0.463,38,58,-102,L4,96,0.396
2024-09-04,HOU,CIN,SPENCER ARRIGHETTI,NICK MARTINEZ,,,,,,,,,,,,420.0,88.0,2460.46,7.03,35.0,0.0,70.0,24.26,83.37,7.36,5.0,87.11,68.88866883116883,7.439058441558442,80.22291666666666,68.10320105820107,7.383326719576719,50.0,47.0,31.0,W2,97.0,0.515,56,40,56,L1,96,0.583
2024-09-04,MIN,TB,RONNY HENRIQUEZ,COLE SULSER,95.0,89.47,2193.34,6.57,4.0,0.0,69.71,30.54,78.07,7.14,3.0,137.0,91.84,2207.7,6.52,7.0,0.0,69.65,12.51,84.01,7.31,7.0,88.93380952380953,72.48375,7.238194444444445,85.56638257575757,71.0004613095238,6.993720238095238,50.0,47.0,61.0,L4,97.0,0.515,47,49,-8,L1,96,0.49
2024-09-04,BOS,NYM,TANNER HOUCK,TYLOR MEGILL,164.0,91.08,2146.45,7.28,9.0,0.0,68.19,11.44,82.02,6.88,2.0,550.0,88.96,2289.83,5.97,27.0,0.0,69.73,2.35,84.4,7.27,6.0,86.2147619047619,70.60280612244898,7.328316326530612,90.62583333333332,70.73049242424243,7.31875,55.0,42.0,45.0,L1,97.0,0.567,53,45,61,W10,98,0.541
2024-09-04,COL,ATL,BRADLEY BLALOCK,CHARLIE MORTON,,,,,,,,,,,,447.0,88.61,2072.77,6.43,16.0,0.0,70.44,22.08,84.72,7.22,5.0,90.219,65.48791666666666,6.7825,87.57828571428571,70.71863636363636,7.756818181818181,42.0,53.0,2.0,L1,95.0,0.442,22,74,-253,L2,96,0.229
2024-09-04,STL,MIL,SONNY GRAY,COLIN REA,549.0,88.63,2102.05,6.58,32.0,0.0,69.84,24.3,83.76,7.17,6.0,573.0,88.22,2490.35,6.61,39.0,0.0,68.22,14.62,81.85,7.31,6.0,77.31944444444444,68.83296296296297,7.482592592592592,85.14237373737373,71.03151515151515,7.181515151515152,56.0,40.0,81.0,W7,96.0,0.583,51,46,17,W1,97,0.526
2024-09-04,CLE,KC,BEN LIVELY,SETH LUGO,571.0,86.97,2542.32,6.03,32.0,0.0,69.14,13.1,82.47,7.23,6.0,529.0,86.22,1963.36,6.94,18.0,0.0,69.42,18.37,83.51,7.11,6.0,83.93519841269841,71.11964285714285,7.336507936507936,78.53999999999999,66.81532312925171,6.971462585034013,47.0,50.0,-28.0,W1,97.0,0.485,46,49,-45,W2,95,0.484
2024-09-04,PIT,CHC,DOMINGO GERMAN,SHOTA IMANAGA,560.0,86.94,1986.65,6.29,37.0,0.0,69.38,26.09,80.81,7.32,6.0,,,,,,,,,,,,85.6915873015873,68.12619570905285,6.967844060701204,86.26033333333334,69.114,7.4245,57.0,39.0,119.0,W2,96.0,0.594,39,58,-53,W1,97,0.402
