game_date,home_team,away_team,winner
2024-09-01,Reds,Brewers,Reds
2024-09-01,Yankees,Cardinals,Cardinals
2024-09-01,Nationals,Cubs,Cubs
2024-09-01,Guardians,Pirates,Guardians
2024-09-01,Tigers,Red Sox,Tigers
2024-09-01,Rays,Padres,Padres
2024-09-01,White Sox,Mets,Mets
2024-09-01,Astros,Royals,Astros
2024-09-01,Twins,Blue Jays,Twins
2024-09-01,Rockies,Orioles,Orioles
2024-09-01,Giants,Marlins,Marlins
2024-09-01,Angels,Mariners,Angels
2024-09-01,D-backs,Dodgers,D-backs
2024-09-01,Phillies,Braves,Phillies
