team,wins,losses,run_diff,streak,games_played,win_pct
TOR,52,38,12,W8,90,.578
NYY,49,41,95,W1,90,.544
TB,49,41,69,W1,90,.544
BOS,46,45,33,W3,91,.505
BAL,40,49,-82,W3,89,.449
DET,57,34,106,W3,91,.626
MIN,43,47,-18,L1,90,.478
KC,43,48,-30,W1,91,.473
CLE,40,48,-59,L10,88,.455
CWS,30,60,-84,L1,90,.333
HOU,55,35,71,W3,90,.611
SEA,48,42,22,W3,90,.533
TEX,44,46,25,L1,90,.489
LAA,43,46,-49,L3,89,.483
Athletics,37,55,-140,L2,92,.402
PHI,53,37,55,W2,90,.589
NYM,52,39,44,L1,91,.571
MIA,40,48,-71,L1,88,.455
ATL,39,50,4,L4,89,.438
WSH,37,53,-86,L3,90,.411
CHC,54,36,126,W1,90,.600
MIL,50,40,57,W1,90,.556
STL,48,43,15,L1,91,.527
CIN,46,44,32,L2,90,.511
PIT,38,53,-37,L3,91,.418
LAD,56,35,77,L3,91,.615
SD,48,41,12,W1,89,.539
SF,49,42,30,W2,91,.538
ARI,44,46,0,L1,90,.489
COL,21,69,-229,W1,90,.233
