game_date,home_team,away_team,winner
2024-07-05,Cubs,Angels,Cubs
2024-07-05,Pirates,Mets,Pirates
2024-07-05,Nationals,Cardinals,Cardinals
2024-07-05,Yankees,Red Sox,Red Sox
2024-07-05,Reds,Tigers,Tigers
2024-07-05,Guardians,Giants,Giants
2024-07-05,Marlins,White Sox,White Sox
2024-07-05,Braves,Phillies,Phillies
2024-07-05,Rangers,Rays,Rangers
2024-07-05,Rockies,Royals,Rockies
2024-07-05,Twins,Astros,Astros
2024-07-05,Padres,D-backs,Padres
2024-07-05,Mariners,Blue Jays,Mariners
2024-07-05,Dodgers,Brewers,Dodgers
