team,wins,losses,run_diff,streak,games_played,win_pct
BAL,60,39,91,L1,99,.606
NYY,60,42,109,W1,102,.588
BOS,53,47,33,L4,100,.530
TB,50,50,-66,L1,100,.500
TOR,46,54,-67,W1,100,.460
CLE,59,40,78,L3,99,.596
MIN,55,44,47,W1,99,.556
KC,56,45,80,W4,101,.554
DET,50,51,3,W1,101,.495
CWS,27,75,-192,L8,102,.265
HOU,52,48,48,L2,100,.520
SEA,53,49,14,L1,102,.520
TEX,48,52,-1,W2,100,.480
LAA,43,57,-98,W2,100,.430
OAK,40,62,-66,W1,102,.392
PHI,63,37,107,L1,100,.630
ATL,54,45,55,L3,99,.545
NYM,51,48,12,W1,99,.515
WSH,47,53,-31,W3,100,.470
MIA,35,65,-151,L1,100,.350
MIL,57,43,82,L1,100,.570
STL,52,48,-32,L1,100,.520
PIT,51,49,-10,W1,100,.510
CHC,49,53,-8,W2,102,.480
CIN,48,53,34,W1,101,.475
LAD,60,41,96,W4,101,.594
SD,52,50,13,W2,102,.510
ARI,51,50,16,L2,101,.505
SF,48,53,-32,L1,101,.475
COL,37,64,-164,W1,101,.366
