game_date,home_team,away_team,winner
2024-03-30,Mets,Brewers,Brewers
2024-03-30,White Sox,Tigers,Tigers
2024-03-30,Orioles,Angels,Orioles
2024-03-30,Phillies,Braves,Braves
2024-03-30,Reds,Nationals,Nationals
2024-03-30,Royals,Twins,Twins
2024-03-30,Marlins,Pirates,Pirates
2024-03-30,Rays,Blue Jays,Rays
2024-03-30,Rangers,Cubs,Rangers
2024-03-30,Astros,Yankees,Yankees
2024-03-30,Padres,Giants,Giants
2024-03-30,D-backs,Rockies,Rockies
2024-03-30,Dodgers,Cardinals,Cardinals
2024-03-30,Mariners,Red Sox,Mariners
