full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Clayton Kershaw,432,84.89,2306.67,6.46,17,0,70.22,14.1,82.99,7.6,6
Marcus Stroman,426,85.93,2351.63,5.57,19,0,70.53,12.34,83.09,7.35,5
Kevin Gausman,596,89.86,2051.87,6.63,27,0,69.63,22.59,83.07,7.14,6
Jon Gray,152,90.57,2161.94,6.52,8,0,69.74,18.45,82.57,7.03,3
Ben Lively,541,85.98,1945.96,6.93,19,0,69.54,18.01,83.78,7.14,6
Austin Gomber,531,84.92,2189.61,6.68,24,0,70.65,20.6,83.09,7.26,6
Blake Snell,600,88.71,2327.8,6.8,53,0,65.91,21.71,80.01,7.22,6
Colin Rea,474,88.45,2102.81,6.58,28,0,69.65,25.73,84.11,7.16,5
Erick Fedde,558,88.98,2127.4,6.66,29,0,70.67,23.64,82.68,7.14,6
Seth Lugo,571,86.98,2544.96,6.01,31,0,69.41,15.62,83.17,7.27,6
Tanner Houck,555,88.43,2306.71,5.93,27,0,69.74,2.1,84.19,7.35,6
Tylor Megill,131,91.27,2047.82,7.36,7,0,66.5,11.45,78.43,6.74,2
Casey Mize,85,88.22,1961.98,6.73,4,0,70.68,11.0,87.54,7.3,1
Bailey Falter,343,88.96,2004.89,7.16,17,0,65.87,20.08,84.65,6.63,5
Jake Irvin,590,89.71,2390.61,7.02,25,0,69.7,17.77,82.4,7.08,6
Framber Valdez,584,87.5,2336.6,5.89,48,0,70.84,-1.97,80.33,7.53,6
Zac Gallen,568,88.28,2201.28,6.46,32,0,69.09,13.65,82.9,7.48,6
DL Hall,175,88.07,2297.66,6.78,14,0,69.9,26.02,83.47,7.41,2
George Kirby,552,91.62,2136.27,6.49,24,0,69.36,18.48,83.54,6.99,6
Adam Oller,275,89.92,2123.51,6.46,16,0,70.35,27.67,85.51,7.13,3
Taj Bradley,538,91.65,2090.07,6.52,24,0,69.72,17.69,85.05,7.21,6
JP Sears,478,86.68,2032.5,6.37,24,0,70.29,22.12,82.04,7.12,5
Shota Imanaga,556,86.86,1989.77,6.29,37,0,69.66,25.25,81.11,7.34,6
Jonathan Cannon,466,88.47,2170.0,6.19,20,0,71.06,18.12,82.64,7.24,5
Sam Aldegheri,79,87.92,2130.57,5.68,3,0,71.32,28.57,87.8,6.99,1
Rhett Lowder,77,90.22,2323.06,6.06,6,0,65.3,17.0,76.78,6.61,1
