team_name,avg_launch_speed,avg_bat_speed,avg_swing_length
ATL,79.87928571428573,68.85272005772005,7.29422077922078
BAL,88.37059523809523,71.10453042328042,6.960667989417989
BOS,79.62476190476191,69.1972619047619,7.245317460317461
CHC,82.81979166666667,68.57464514652014,7.022653388278388
CIN,82.14500000000001,68.62833333333333,7.4783333333333335
CLE,79.04940476190477,69.106875,7.059236111111112
COL,94.10888888888888,70.26481481481481,7.207407407407406
CWS,85.13,62.5625,6.4660714285714285
DET,80.99888888888889,68.44542424242425,6.8672828282828275
HOU,81.18722222222222,70.26022108843537,7.543894557823129
KC,81.88161375661376,67.82194083694084,7.080429292929293
LAA,82.47361111111111,67.97311507936507,6.955312049062049
LAD,80.17833333333333,70.51595238095237,7.347142857142858
MIA,91.54499999999999,72.97,7.16
MIL,84.09527472527473,69.04639499389499,7.335989010989011
MIN,79.40902777777778,69.97936965811967,7.269604700854701
NYM,91.72091836734694,70.4754761904762,7.179047619047618
NYY,81.57473214285714,70.72638888888889,7.4578125
PHI,83.38035714285715,69.84190166975881,7.199243970315399
PIT,88.43742063492063,68.72774725274725,6.842706698063841
SD,73.42408163265306,60.18335034013605,6.207273242630386
SEA,84.3238888888889,71.25138888888888,7.60324074074074
SF,83.2075,70.54722222222222,7.456250000000001
STL,80.53840909090908,71.10430555555556,7.635972222222223
TB,79.68645833333333,67.77473526473527,6.769625374625375
TEX,78.28,67.79553571428572,7.332738095238096
TOR,74.16626984126984,71.2977380952381,7.376904761904761
WSH,89.70738095238096,71.97796296296296,7.402592592592593
