team,wins,losses,run_diff,streak,games_played,win_pct
NYY,42,30,98,L5,72,.583
TB,40,33,64,L1,73,.548
TOR,39,33,-11,W1,72,.542
BOS,38,37,16,L1,75,.507
BAL,31,41,-75,W1,72,.431
DET,47,27,84,W1,74,.635
CLE,36,35,-25,W1,71,.507
MIN,36,36,6,L5,72,.500
KC,35,38,-23,W1,73,.479
CWS,23,50,-72,L6,73,.315
HOU,42,31,47,W1,73,.575
SEA,37,35,4,W1,72,.514
TEX,36,37,22,L1,73,.493
LAA,35,37,-57,W2,72,.486
Athletics,30,45,-121,L1,75,.400
NYM,45,28,79,L4,73,.616
PHI,43,30,31,L1,73,.589
ATL,32,39,13,W1,71,.451
WSH,30,43,-69,L10,73,.411
MIA,29,42,-86,W1,71,.408
CHC,45,28,107,W3,73,.616
MIL,39,35,19,L1,74,.527
CIN,38,35,42,W3,73,.521
STL,38,35,28,W1,73,.521
PIT,29,45,-58,L3,74,.392
LAD,45,29,76,W4,74,.608
SF,41,32,44,L3,73,.562
SD,39,33,20,L2,72,.542
ARI,36,36,-6,L2,72,.500
COL,16,57,-197,W3,73,.219
