game_date,home_team,away_team,winner
2024-09-08,Orioles,Rays,Rays
2024-09-08,Braves,Blue Jays,Braves
2024-09-08,Red Sox,White Sox,White Sox
2024-09-08,Pirates,Nationals,Pirates
2024-09-08,Marlins,Phillies,Marlins
2024-09-08,Mets,Reds,Reds
2024-09-08,Royals,Twins,Royals
2024-09-08,Brewers,Rockies,Rockies
2024-09-08,Cardinals,Mariners,Mariners
2024-09-08,Cubs,Yankees,Cubs
2024-09-08,Rangers,Angels,Rangers
2024-09-08,Dodgers,Guardians,Dodgers
2024-09-08,Padres,Giants,Giants
2024-09-08,Astros,D-backs,D-backs
